,Composite Sample Number,Composite Sample Name,Sub-sample Number,Sub-sample Name,Brand,Pack size,Purchase Date,Place of Purchase,Display Until Date,Best Before Date,Batch Number,Packaging,Sample Condition As Purchased,Post Purchase Storage
223,11 ,"Leeks, fresh, roasted in rapeseed oil  ",11.3 ,Asda Grower’s Selection British extra trimmed leeks  ,Asda Grower’s Selection  ,500g  ,17.11.15  ,"Asda, Boundary Road, Norwich  ",Best before Date:  ,,Site:143434 ASP1506594  ,Plastic  ,Ambient  ,Chilled  
225,11 ,"Leeks, fresh, roasted in rapeseed oil  ",11.4 ,Sainsbury’s British trimmed leeks  ,Sainsbury’s  ,500g  ,02.11.15  ,"Sainsbury’s, Longwater Retail Park, Norwich  ",Best before Date:  ,,A301 A 3 304 10 09 RO466 6308660  ,Plastic  ,Ambient  ,Chilled  
227,11 ,"Leeks, fresh, roasted in rapeseed oil  ",11.5 ,Morrisons trimmed leeks  ,Morrisons  ,500g  ,01.12.15  ,"Morrisons, Albion Way, Norwich  ",Best before Date:  ,,1683 1  ,Plastic  ,Chilled  ,Chilled  
229,11 ,"Leeks, fresh, roasted in rapeseed oil  ",11.6 ,Sainsbury’s leeks  ,Sainsbury’s  ,Purchase Date:  ,20.10.15  ,"Sainsbury’s, Longwater Retail Park, Norwich  ",Best before Date:  ,,Packaging:  ,Loose  ,Ambient  ,Chilled  
231,11 ,"Leeks, fresh, roasted in rapeseed oil  ",11.7 ,M&S British leeks  ,Marks & Spencer  ,600g  ,02.11.15  ,"Marks & Spencer, Sweet Briar Retail Park, Norwich  ",Best before Date:  ,,41467  ,Plastic  ,Chilled  ,Chilled  
233,11 ,"Leeks, fresh, roasted in rapeseed oil  ",11.8 ,Oaklands British leeks  ,Oaklands  ,750g  ,20.10.15  ,"Lidl, Drayton Road, Norwich  ",Best before Date:  ,,4204 W3552 E52144  ,Plastic  ,Chilled  ,Chilled  
235,11 ,"Leeks, fresh, roasted in rapeseed oil  ",11.9 ,The Co -operative leeks  ,The Co -operative  ,Purchase Date:  ,01.12.15  ,"The Co -operative, Wymondham , Norfolk  ",Best before Date:  ,,Packaging:  ,Loose  ,Chilled  ,Chilled  
237,11 ,"Leeks, fresh, roasted in rapeseed oil  ",11.10  ,Greengrocer leeks  ,Pack size:  ,Purchase Date:  ,04.11.15  ,"Independent greengrocer, Norwich  ",Best before Date:  ,,Packaging:  ,Loose  ,Ambient  ,Chilled  
239,11 ,"Leeks, fresh, roasted in rapeseed oil  ",11.11  ,Farm Fresh leeks  ,Farm Fresh  ,400g  ,02.11.15  ,"Booker, Norwich  ",Best before Date:  ,,A22511 332  ,Plastic  ,Chilled  ,Chilled  
241,12 ,"Courgettes, fresh, raw  ",12.1 ,Tesco courgettes  ,Tesco  ,Purchase Date:  ,16.11.15  ,"Tesco, Harford Bridges, Norwich  ",Best before Date:  ,,Packaging:  ,Loose  ,Ambient  ,Chilled  
243,12 ,"Courgettes, fresh, raw  ",12.2 ,Tesco courgettes  ,Tesco  ,500g  ,16.11.15  ,"Tesco, Harford Bridges, Norwich  ",Best before Date:  ,,SC:GZ  ,Plastic  ,Chilled  ,Chilled  
245,12 ,"Courgettes, fresh, raw  ",12.3 ,Asda Grower’s Selection British courgettes  ,Asda Grower’s Selection  ,3 pack  ,17.08.15  ,"Asda, Boundary  Road, Norwich  ",Best before Date:  ,,Batch: 12670 site: 950001 SS2 3 15:55 ASP1420196  ,Plastic  ,Chilled  ,Chilled  
247,12 ,"Courgettes, fresh, raw  ",12.4 ,Sainsbury’s courgettes  ,Sainsbury’s  ,Purchase Date:  ,17.08.15  ,"Sainsbury’s, Longwater Retail Park, Norwich  ",Best before Date:  ,,Packaging:  ,Loose  ,Ambient  ,Chilled  
249,12 ,"Courgettes, fresh, raw  ",12.5 ,Morrisons courgettes  ,Morrisons  ,Purchase Date:  ,16.11.15  ,"Morrisons, Albion Way, Norwich  ",Best before Date:  ,,Packaging:  ,Loose  ,Ambient  ,Chilled  
251,12 ,"Courgettes, fresh, raw  ",12.6 ,M&S courgettes  ,Marks & Spencer  ,325g  ,16.11.15  ,"Marks & Spencer, Sweet Briar Retail Park, Norwich  ",Best before Date:  ,,SC4146  ,Plastic  ,Chilled  ,Chilled  
253,12 ,"Courgettes, fresh, raw  ",12.7 ,Wood Farm  courgettes  ,Wood Farm  ,500g  ,17.08.15  ,"Aldi, Larkman Lane, Norwich  ",Best before Date:  ,,3403 (3405C) Supplier code: 02985 25341195  ,Plastic  ,Chilled  ,Chilled  
255,12 ,"Courgettes, fresh, raw  ",,Sainsbury’s Basics courgettes  ,Sainsbury’s Basics  ,1kg ,17.08.15  ,"Sainsbury’s, Longwater Retail Park, Norwich  ",Best before Date:  ,,6287853 09.13 M0249A  ,Plastic netting  ,Ambient  ,Chilled  
257,12 ,"Courgettes, fresh, raw  ",12.9 ,Tesco British courgettes  ,Tesco  ,300g  ,19.08.15  ,"Tesco Express, Westlegate, Norwich  ",Best before Date:  ,,SC:DV Oak -C 1 ,Plastic  ,Chilled  ,Chilled  
259,12 ,"Courgettes, fresh, raw  ",12.10  ,Greengrocers courgettes  ,Pack size:  ,Purchase Date:  ,26.11.15  ,"Independent greengrocers, Norwich  ",Best before Date:  ,,,Loose  ,Ambient  ,Chilled  
261,12 ,"Courgettes, fresh, raw  ",12.11  ,Farm Fresh courgettes  ,Farm Fresh  ,1kg ,17.11.15  ,"Booker, Norwich  ",Best before Date:  ,,4404 TEX  ,Plastic  ,Chilled  ,Chilled  
263,13 ,"Courgettes, fresh, boiled  ",13.1 ,Tesco courgettes  ,Tesco  ,Purchase Date:  ,16.11.15  ,"Tesco, Harford Bridges, Norwich  ",Best before Date:  ,,Packaging:  ,Loose  ,Ambient  ,Chilled  
265,13 ,"Courgettes, fresh, boiled  ",13.2 ,Tesco courgettes  ,Tesco  ,500g  ,16.11.15  ,"Tesco, Harford Bridges, Norwich  ",Best before Date:  ,,SC:GZ  ,Plastic  ,Chilled  ,Chilled  
267,13 ,"Courgettes, fresh, boiled  ",13.3 ,Asda Grower’s Selection British courgettes  ,Asda Grower’s Selection  ,3 pack  ,17.08.15  ,"Asda, Boundary Road, Norwich  ",Best before Date:  ,,Batch: 12670 site: 950001 SS2 3 15:55 ASP1420196  ,Plastic  ,Chilled  ,Chilled  
269,13 ,"Courgettes, fresh, boiled  ",13.4 ,Sainsbury’s courgettes  ,Sainsbury’s  ,Purchase Date:  ,17.08.15  ,"Sainsbury’s, Longwater Retail Park, Norwich  ",Best before Date:  ,,Packaging:  ,Loose  ,Ambient  ,Chilled  
271,13 ,"Courgettes, fresh, boiled  ",13.5 ,Morrisons courgettes  ,Morrisons  ,Purchase Date:  ,16.11.15  ,"Morrisons, Albion Way, Norwich  ",Best before Date:  ,,Packaging:  ,Loose  ,Ambient  ,Chilled  
273,,"Courgettes, fresh, boiled  ",13.6 ,M&S courgettes  ,Marks & Spencer  ,325g  ,16.11.15  ,"Marks & Spencer, Sweet Briar Retail Park, Norwich  ",Best before Date:  ,,SC4146  ,Plastic  ,Chilled  ,Chilled  
275,13 ,"Courgettes, fresh, boiled  ",13.7 ,Wood Farm  courgettes  ,Wood Farm  ,500g  ,17.08.15  ,"Aldi, Larkman Lane, Norwich  ",Best before Date:  ,,3403 (3405C) Supplier code: 02985 25341195  ,Plastic  ,Chilled  ,Chilled  
277,13 ,"Courgettes, fresh, boiled  ",13.8 ,Sainsbury’s Basics courgettes  ,Sainsbury’s Basics  ,1kg ,17.08.15  ,"Sainsbury’s, Longwater Retail Park, Norwich  ",Best before Date:  ,,6287853 09.13 M0249A  ,Plastic netting  ,Ambient  ,Chilled  
279,13 ,"Courgettes, fresh, boiled  ",13.9 ,Tesco British courgettes  ,Tesco  ,300g  ,19.08.15  ,"Tesco Express, Westlegate, Norwich  ",Best before Date:  ,,SC:DV Oak -C 1 ,Plastic  ,Chilled  ,Chilled  
281,13 ,"Courgettes, fresh, boiled  ",13.10  ,Greengrocers courgettes  ,Pack size:  ,Purchase Date:  ,26.11.15  ,"Independent greengrocers, Norwich  ",Best before Date:  ,,Packaging:  ,Loose  ,Ambient  ,Chilled  
283,13 ,"Courgettes, fresh, boiled  ",13.11  ,Farm Fresh courgettes  ,Farm Fresh  ,1kg ,17.11.15  ,"Booker, Norwich  ",Best before Date:  ,,4404 TEX  ,Plastic  ,Chilled  ,Chilled  
285,14 ,"Courgettes, fresh, roasted  in rapeseed oil  ",14.1 ,Tesco courgettes  ,Tesco  ,Purchase Date:  ,16.11.15  ,"Tesco, Harford Bridges, Norwich  ",Best before Date:  ,,Packaging:  ,Loose  ,Ambient  ,Chilled  
287,14 ,"Courgettes, fresh, roasted in rapeseed oil  ",14.2 ,Tesco courgettes  ,Tesco  ,500g  ,16.11.15  ,"Tesco, Harford Bridges, Norwich  ",Best before Date:  ,,SC:GZ  ,Plastic  ,Chilled  ,Chilled  
289,14 ,"Courgettes, fresh, roasted in rapeseed oil  ",14.3 ,Asda Grower’s Selection British courgettes  ,Asda Grower’s Selection  ,3 pack  ,17.08.15  ,"Asda, Boundary Road, Norwich  ",Best before Date:  ,,Batch: 12670 site: 950001 SS2 3 15:55 ASP1420196  ,Plastic  ,Chilled  ,Chilled  
291,14 ,"Courgettes, fresh, roasted in rapeseed oil  ",14.4 ,Sainsbury’s courgettes  ,Sainsbury’s  ,Purchase Date:  ,17.08.15  ,"Sainsbury’s, Longwater Retail Park, Norwich  ",Best before Date:  ,,Packaging:  ,Loose  ,Ambient  ,Chilled  
293,14 ,"Courgettes, fresh, roasted in rapeseed oil  ",14.5 ,Morrisons courgettes  ,Morrisons  ,Purchase Date:  ,16.11.15  ,"Morrisons, Albion Way, Norwich  ",Best before Date:  ,,Packaging:  ,Loose  ,Ambient  ,Chilled  
295,,"Courgettes, fresh, roasted in rapeseed oil  ",14.6 ,M&S courgettes  ,Marks & Spencer  ,325g  ,16.11.15  ,"Marks & Spencer, Sweet Briar Retail Park, Norwich  ",Best before Date:  ,,SC4146  ,Plastic  ,Chilled  ,Chilled  
297,14 ,"Courgettes, fresh, roasted in rapeseed oil  ",14.7 ,Wood Farm  courgettes  ,Wood Farm  ,500g  ,17.08.15  ,"Aldi, Larkman Lane, Norwich  ",Best before Date:  ,,3403 (3405C) Supplier code: 02985 25341195  ,Plastic  ,Chilled  ,Chilled  
299,14 ,"Courgettes, fresh, roasted in rapeseed oil  ",14.8 ,Sainsbury’s Basics courgettes  ,Sainsbury’s Basics  ,1kg ,17.08.15  ,"Sainsbury’s, Longwater Retail Park, Norwich  ",Best before Date:  ,,6287853 09.13 M0249A  ,Plastic netting  ,Ambient  ,Chilled  
301,14 ,"Courgettes, fresh, roasted in rapeseed oil  ",14.9 ,Tesco British courgettes  ,Tesco  ,300g  ,19.08.15  ,"Tesco Express, Westlegate, Norwich  ",Best before Date:  ,,SC:DV Oak -C 1 ,Plastic  ,Chilled  ,Chilled  
303,14 ,"Courgettes, fresh, roasted in rapeseed oil  ",14.10  ,Greengrocers courgettes  ,Pack size:  ,Purchase Date:  ,26.11.15  ,"Independent greengrocers, Norwich  ",Best before Date:  ,,Packaging:  ,Loose  ,Ambient  ,Chilled  
305,14 ,"Courgettes, fresh, roasted in rapeseed oil  ",14.11  ,Farm Fresh courgettes  ,Farm Fresh  ,1kg ,17.11.15  ,"Booker, Norwich  ",Best before Date:  ,,4404 TEX  ,Plastic  ,Chilled  ,Chilled  
307,15 ,"Brussels sprouts, boiled  ",15.1 ,Tesco Brussels sprouts  ,Tesco  ,Purchase Date:  ,19.10.15  ,"Tesco Extra, Blue Boar Road, Norwich  ",Best before Date:  ,,Packaging:  ,Loose  ,Ambient  ,Chilled  
309,15 ,"Brussels sprouts, boiled  ",15.2 ,Tesco British peeled Brussels sprouts  ,Tesco  ,250g  ,19.10.15  ,"Tesco Extra, Blue Boar Road, Norwich  ",Best before Date:  ,,SC:DR  ,Plastic  ,Chilled  ,Chilled  
311,15 ,"Brussels sprouts, boiled  ",15.3 ,Asda Grower’s Selection British sprouts  ,Asda Grower’s Selection  ,500g  ,23.10.15  ,"Asda, Boundary Road, Norwich  ",Best before Date:  ,,SPRT 289 19 37 A 00362 AP1508557  ,Plastic  ,,Chilled  
313,15 ,"Brussels sprouts, boiled  ",15.4 ,Sainsbury’s Brussels sprouts  ,Sainsbury’s  ,Purchase Date:  ,19.10.15  ,"Sainsbury’s, Longwater Retail Park, Norwich  ",Best before Date:  ,,Packaging:  ,Loose  ,,Chilled  
315,15 ,"Brussels sprouts, boiled  ",15.5 ,Morrisons Brussels sprouts  ,Morrisons  ,500g  ,19.10.15  ,"Morrisons, Albion Way, Norwich  ",Best before Date:  ,,1825/WRA  2725 FL53705594 T52691/1214  ,Plastic  ,Chilled  ,Chilled  
317,15 ,"Brussels sprouts, boiled  ",15.6 ,M&S British baby sprouts  ,Marks & Spencer  ,200g  ,19.10.15  ,"Marks & Spencer, Sweet Briar Retail Park, Norwich  ",Best before Date:  ,,SC4146W  ,Plastic  ,Chilled  ,Chilled  
319,15 ,"Brussels sprouts, boiled  ",15.7 ,Wood Farm Brussels sprouts  ,Wood Farm  ,500g  ,19.10.15  ,"Aldi, Larkman Lane, Norwich  ",Best before Date:  ,,L 4301 (4303c) S939 CEE ALR14073S3 25341201  ,Plastic  ,Chilled  ,Chilled  
321,15 ,"Brussels sprouts, boiled  ",15.8 ,Tesco British Brussels sprouts  ,Tesco  ,500g  ,26.10.15  ,"Tesco, Harford Bridges, Norwich  ",Best before Date:  ,,SC:DR  ,Plastic  ,Chilled  ,Chilled  
323,15 ,"Brussels sprouts, boiled  ",15.9 ,The Co -operative Loved by Us British Brussels sprouts  ,The Co -operative Loved by Us  ,500g  ,26.10.15  ,"The Co -operative, Long Stratton , Norfolk  ",Best before Date:  ,,M233 SPRT 297 18:37 B 01213  ,Plastic  ,Chilled  ,Chilled  
325,,"Brussels sprouts, boiled  ",15.10  ,Farm Shop Brussels sprouts  ,Pack size:  ,Purchase Date:  ,13.10.15  ,"Independent Farm Shop, Mulbarton , Norfolk   ",Best before Date:  ,,Packaging:  ,Loose  ,Ambient  ,Chilled  
327,15 ,"Brussels sprouts, boiled  ",15.11  ,Farm Fresh Brussels sprouts  ,Farm Fresh  ,5kg ,19.10.15  ,"Booker, Norwich  ",Best before Date:  ,,A22511 343  ,Plastic  ,Chilled  ,Chilled  
329,16 ,"Parsnips, boiled  ",16.1 ,Tesco parsnips  ,Tesco  ,Purchase Date:  ,02.11.15  ,"Tesco, Harford Bridges, Norwich  ",Best before Date:  ,,Packaging:  ,Loose  ,Ambient  ,Chilled  
331,16 ,"Parsnips, boiled  ",16.2 ,Tesco British parsnips  ,Tesco  ,500g  ,02.11.15  ,"Tesco, Harford Bridges, Norwich  ",Best before Date:  ,,SC:ABC  D7 08:55  ,Plastic  ,Ambient  ,Chilled  
333,16 ,"Parsnips, boiled  ",16.3 ,Asda Grower’s Selection British parsnips  ,Asda Grower’s Selection  ,500g  ,02.11.15  ,"Asda, Boundary Road, Norwich  ",Best before Date:  ,,Batch:115 site:900322 ASP1508736  ,Plastic  ,Ambient  ,Chilled  
335,16 ,"Parsnips, boiled  ",16.4 ,Sainsbury’s parsnips  ,Sainsbury’s  ,Purchase Date:  ,02.11.15  ,"Sainsbury’s, Longwater Retail Park, Norwich  ",Best before Date:  ,,Packaging:  ,Loose  ,Ambient  ,Chilled  
337,16 ,"Parsnips, boiled  ",16.5 ,Morrisons parsnips  ,Morrisons  ,500g  ,02.11.15  ,"Morrisons, Albion Way, Norwich  ",Best before Date:  ,,0796/HAM -303-15-08:48 -Etna 001 2725 T50866/0215  ,Plastic  ,Ambient  ,Chilled  
339,16 ,"Parsnips, boiled  ",16.6 ,M&S parsnips  ,Marks & Spencer  ,Purchase Date:  ,02.11.15  ,"Marks & Spencer, Sweet Briar Retail Park, Norwich  ",Best before Date:  ,,Packaging:  ,Loose  ,Ambient  ,Chilled  
341,16 ,"Parsnips, boiled  ",16.7 ,Oaklands British parsnips  ,Oaklands  ,500g  ,09.11.15  ,"Lidl, Drayton Road, Norwich  ",Best before Date:  ,,4504 09:45  W1133 6039 6A  ,Plastic  ,Ambient  ,Chilled  
343,16 ,"Parsnips, boiled  ",16.8 ,Sainsbury’s Basics parsnips  ,Sainsbury’s Basics  ,750g  ,02.11.15  ,"Sainsbury’s, Longwater Retail Park, Norwich  ",Best before Date:  ,,I0062A 302 07:176B 7169946 10:13  ,Plastic  ,Ambient  ,Chilled  
345,16 ,"Parsnips, boiled  ",16.9 ,The Co -operative parsnips  ,The Co -operative  ,Purchase Date:  ,03.11.15  ,"The Co -operative, Wymondham  ",Best before Date:  ,,Packaging:  ,Loose  ,Ambient  ,Chilled  
347,16 ,"Parsnips, boiled  ",16.10  ,Greengrocer parsnips  ,Pack size:  ,Purchase Date:  ,03.11.15  ,"Independent greengrocer, Norwich  ",Best before Date:  ,,Packaging:  ,Loose  ,Ambient  ,Chilled  
349,16 ,"Parsnips, boiled  ",16.11  ,Farm Fresh parsnips  ,Farm Fresh  ,1.5kg  ,02.11.15  ,"Booker, Norwich  ",Best before Date:  ,,A22511 326  ,Plastic  ,Chilled  ,Chilled  
351,17 ,"Parsnips, roasted in rapeseed oil  ",17.1 ,Tesco parsnips  ,Tesco  ,Purchase Date:  ,02.11.15  ,"Tesco, Harford Bridges, Norwich  ",Best before Date:  ,,Packaging:  ,Loose  ,Ambient  ,Chilled  
353,17 ,"Parsnips, roasted in rapeseed oil  ",17.2 ,Tesco British parsnips  ,Tesco  ,500g  ,02.11.15  ,"Tesco, Harford Bridges, Norwich  ",Best before Date:  ,,SC:ABC  D7 08:55  ,Plastic  ,Ambient  ,Chilled  
355,17 ,"Parsnips, roasted in rapeseed oil  ",17.3 ,Asda Grower’s Selection British parsnips  ,Asda Grower’s Selection  ,500g  ,02.11.15  ,"Asda, Boundary Road, Norwich  ",Best before Date:  ,,Batch:115 site:900322 ASP1508736  ,Plastic  ,Ambient  ,Chilled  
357,17 ,"Parsnips, roasted in rapeseed oil  ",17.4 ,Sainsbury’s parsnips  ,Sainsbury’s  ,Purchase Date:  ,02.11.15  ,"Sainsbury’s, Longwater Retail Park, Norwich  ",Best before Date:  ,,Packaging:  ,Loose  ,Ambient  ,Chilled  
359,17 ,"Parsnips, roasted in rapeseed oil  ",17.5 ,Morrisons parsnips  ,Morrisons  ,500g  ,02.11.15  ,"Morrisons, Albion Way, Norwich  ",Best before Date:  ,,0796/HAM -303-15-08:48 -Etna 001 2725 T50866/0215  ,Plastic  ,Ambient  ,Chilled  
361,17 ,"Parsnips, roasted in rapeseed oil  ",17.6 ,M&S parsnips  ,Marks & Spencer  ,Purchase Date:  ,02.11.15  ,"Marks & Spencer, Sweet Briar Retail Park, Norwich  ",Best before Date:  ,,Packaging:  ,Loose  ,Ambient  ,Chilled  
363,17 ,"Parsnips, roasted in rapeseed oil  ",17.7 ,Oaklands British parsnips  ,Oaklands  ,500g  ,09.11.15  ,"Lidl, Drayton Road, Norwich  ",Best before Date:  ,,4504 09:45  W1133 6039 6A  ,Plastic  ,Ambient  ,Chilled  
365,17 ,"Parsnips, roasted in rapeseed oil  ",17.8 ,Sainsbury’s Basics parsnips  ,Sainsbury’s Basics  ,750g  ,02.11.15  ,"Sainsbury’s, Longwater Retail Park, Norwich  ",Best before Date:  ,,I0062A 302 07:176B 7169946 10:13  ,Plastic  ,Ambient  ,Chilled  
367,17 ,"Parsnips, roasted in rapeseed oil  ",17.9 ,The Co -operative parsnips  ,The Co -operative  ,Purchase Date:  ,03.11.15  ,"The Co -operative, Wymondham , Norfolk  ",Best before Date:  ,,Packaging:  ,Loose  ,Ambient  ,Chilled  
369,17 ,"Parsnips, roasted in rapeseed oil  ",17.10  ,Greengrocer parsnips  ,Pack size:  ,Purchase Date:  ,03.11.15  ,"Independent greengrocer, Norwich  ",Best before Date:  ,,Packaging:  ,Loose  ,Ambient  ,Chilled  
371,17 ,"Parsnips, roasted in rapeseed oil  ",17.11  ,Farm Fresh parsnips  ,Farm Fresh  ,1.5kg  ,02.11.15  ,"Booker, Norwich  ",Best before Date:  ,,A22511 326  ,Plastic  ,Chilled  ,Chilled  
373,18 ,"Beetroot, cooked  ",18.1 ,Tesco cooked British beetroot  ,Tesco  ,300g  ,28.09.15  ,"Tesco, Harford Bridges, Norwich  ",Best before Date:  ,,5222 A10  ,Plastic  ,Chilled  ,Chilled  
375,18 ,"Beetroot, cooked  ",18.2 ,Tesco cooked British beetroot  ,Tesco  ,300g  ,05.10.15  ,"Tesco, Harford Bridges, Norwich  ",Best before Date:  ,,5229 L8  ,Plastic  ,Ambient  ,Chilled  
377,18 ,"Beetroot, cooked  ",18.3 ,Asda Grower’s Selection bunched beetroot  ,Asda Grower’s Selection  ,500g  ,28.09.15  ,"Asda, Boundary Road, Norwich  ",Best before Date:  ,,ASP1507042  site:700292  ,Loose; tag: mixed material  ,Ambient  ,Chilled  
379,18 ,"Beetroot, cooked  ",18.4 ,Sainsbury’s bunched beetroot  ,Sainsbury’s  ,500g  ,28.09.15  ,"Sainsbury’s, Longwater Retail Park, Norwich  ",Best before Date:  ,,6031981 10062C 11.14  ,Loose  ,Ambient  ,Chilled  
381,18 ,"Beetroot, cooked  ",18.5 ,,Morrisons  ,Purchase Date:  ,28.09.15  ,"Morrisons, Albion Way, Norwich  ",Best before Date:  ,,Packaging:  ,Loose  ,Ambient  ,Chilled  
385,18 ,"Beetroot, cooked  ",18.7 ,Oaklands cooked beetroot  ,Oaklands  ,500g  ,28.09.15  ,"Lidl, Drayton Road, Norwich  ",Best before Date:  ,,05:18 259 W1152 7  ,Plastic  ,Chilled  ,Chilled  
387,18 ,"Beetroot, cooked  ",18.8 ,Asda Grower’s Selection bunched beetroot  ,Asda Grower’s Selection  ,500g  ,20.10.15  ,"Asda, Boundary Road, Norwich  ",Best before Date:  ,,ASP1507042  site:700292  ,Loose; tag - mixed material  ,Ambient  ,Chilled  
389,18 ,"Beetroot, cooked  ",18.9 ,The Co -operative Loved by Us British cooked beetroot  ,The Co -operative  Loved by Us  ,250g  ,06.10.15  ,"The Co -operative, Wymondham  ",Best before Date:  ,,4259 09:52 M005 WCG212  ,Plastic  ,Ambient  ,Chilled  
391,18 ,"Beetroot, cooked  ",18.10  ,Greengrocer beetroot  ,Pack size:  ,Purchase Date:  ,28.09.15  ,"Independent greengrocer, Norwich  ",Best before Date:  ,,Packaging:  ,Loose  ,Ambient  ,Chilled  
393,18 ,"Beetroot, cooked  ",18.11  ,Bidvest raw beetroot  ,Bidvest  ,1kg ,12.10.15  ,Bidvest Foodservice delivery  ,Best before Date:  ,,Traceability code: 282 product: 75578  ,Plastic  ,Chilled  ,Chilled  
395,19 ,"Sweetcorn, baby, fresh, boiled  ",19.1 ,Tesco baby corn  ,Tesco  ,190g  ,09.11.15  ,"Tesco, Harford Bridges, Norwich  ",Best before Date:  ,,SC:HM2fd  ,Plastic  ,Chilled  ,Chilled  
397,19 ,"Sweetcorn, baby, fresh, boiled  ",19.2 ,Tesco baby corn  ,Tesco  ,190g  ,09.11.15  ,"Tesco, Harford Bridges, Norwich  ",Best before Date:  ,,SC HM28  ,Plastic  ,Chilled  ,Chilled  
399,19 ,"Sweetcorn, baby, fresh, boiled  ",19.3 ,Asda Grower’s Selection baby corn  ,Asda Grower’s Selection  ,130g  ,09.11.15  ,"Asda, Boundary Road, Norwich  ",Best before Date:  ,,Site:550489  ASP1419792  ,Plastic  ,Chilled  ,Chilled  
401,19 ,"Sweetcorn, baby, fresh, boiled  ",19.4 ,Sainsbury’s babycorn  ,Sainsbury’s  ,175g  ,30.11.15  ,"Sainsbury’s, Longwater Retail Park,  Norwich  ",Best before Date:  ,,P0698G 1043433 12.13  ,Plastic  ,Chilled  ,Chilled  
403,19 ,"Sweetcorn, baby, fresh, boiled  ",19.5 ,Morrisons baby corn  ,Morrisons  ,125g  ,09.11.15  ,"Morrisons, Albion Way, Norwich  ",Best before Date:  ,,T360/MWW T48399/0614  ,Plastic  ,Chilled  ,Chilled  
405,19 ,"Sweetcorn, baby, fresh, boiled  ",19.6 ,Waitrose baby corn  ,Waitrose  ,175g  ,18.11.15  ,"Waitrose, Wymondham , Norfolk   ",23.11.15  ,,Supplier 284GND 10.14  ,Plastic  ,Chilled  ,Chilled  
407,19 ,"Sweetcorn, baby, fresh, boiled  ",19.7 ,Wood Farm baby corn  ,Wood Farm  ,135g  ,16.11.15  ,"Aldi, Sprowston Road, Norwich  ",Best before Date:  ,,Supplier code:03107/HQC Lot code:4606 (4701C)  ,Plastic  ,Chilled  ,Chilled  
409,19 ,"Sweetcorn, baby, fresh, boiled  ",19.8 ,Asda Grower’s Selection baby corn  ,Asda Grower’s Selection  ,130g  ,30.11.15  ,"Asda, Boundary Road, Norwich  ",Best before Date:  ,,Site: 550515 ASP1419792  ,Plastic  ,Chilled  ,Chilled  
411,19 ,"Sweetcorn, baby, fresh, boiled  ",19.9 ,The Co -operative Loved by Us babycorn  ,The Co -operative Loved by Us  ,125g  ,09.11.15  ,"The Co -operative, Long Stratton , Norfolk  ",Best before Date:  ,,Supplied by: M262B P6470/1/3 5000128471152  ,Plastic  ,Chilled  ,Chilled  
413,19 ,"Sweetcorn, baby, fresh, boiled  ",19.10  ,Morrisons baby corn  ,Morrisons  ,125g  ,16.12.15  ,"Morrisons, Albion Way, Norwich  ",Best before Date:  ,,T360/MWW T48399/0614  ,Plastic  ,Chilled  ,Chilled  
415,19 ,"Sweetcorn, baby, fresh, boiled  ",19.11  ,Exotica baby corn  ,Exotica  ,80g ,12.10.15  ,Bidvest Foodservice delivery  ,Best before Date:  ,,Lot code: 1 -200-002-74012  ,Plastic  ,Chilled  ,Chilled  
417,20 ,"Sweetcorn, baby, fresh, stir -fried in rapeseed oil  ",20.1 ,Tesco baby corn  ,Tesco  ,190g  ,09.11.15  ,"Tesco, Harford Bridges, Norwich  ",Best before Date:  ,,SC:HM2fd  ,Plastic  ,Chilled  ,Chilled  
419,20 ,"Sweetcorn, baby, fresh, stir -fried in rapeseed  oil ",20.2 ,Tesco baby corn  ,Tesco  ,190g  ,09.11.15  ,"Tesco, Harford Bridges, Norwich  ",Best before Date:  ,,SC HM28  ,Plastic  ,Chilled  ,Chilled  
421,20 ,"Sweetcorn, baby, fresh, stir-fried in rapeseed oil  ",20.3 ,Asda Grower’s Selection baby corn  ,Asda Grower’s Selection  ,130g  ,09.11.15  ,"Asda, Boundary Road, Norwich  ",Best before Date:  ,,Site:550489  ASP1419792  ,Plastic  ,Chilled  ,Chilled  
423,20 ,"Sweetcorn, baby, fresh, stir-fried in rapeseed oil  ",20.4 ,Sainsbury’s babycorn  ,Sainsbury’s  ,175g  ,30.11.15  ,"Sainsbury’s, Longwater Retail Park, Norwich  ",Best before Date:  ,,P0698G 1043433 12.13  ,Plastic  ,Chilled  ,Chilled  
427,20 ,"Sweetcorn, baby, fresh, stir-fried in rapeseed oil  ",20.6 ,Waitrose baby corn  ,Waitrose  ,175g  ,18.11.15  ,"Waitrose, Wymondham, Norfolk  ",23.11.15  ,,Supplier 284GND 10.14  ,Plastic  ,Chilled  ,Chilled  
429,20 ,"Sweetcorn, baby, fresh, stir-fried in rapeseed oil  ",20.7 ,Wood Farm baby corn  ,Wood Farm  ,135g  ,16.11.15  ,"Aldi, Sprowston Road, Norwich  ",Best before Date:  ,,Supplier code:03107/HQC Lot code:4606 (4701C)  ,Plastic  ,Chilled  ,Chilled  
431,20 ,"Sweetcorn, baby, fresh, stir-fried in rapeseed oil  ",20.8 ,Asda Grower’s Selection baby corn  ,Asda Grower’s Selection  ,130g  ,30.11.15  ,"Asda, Boundary Road, Norwich  ",Best before Date:  ,,Site: 550515 ASP1419792  ,Plastic  ,Chilled  ,Chilled  
