,0,1,2,3
821,,treat size,22g,
822,Cadbury's Strollers,packet,45g,
823,Cadbury's Whole Nut,standard,51g,
824,,snack size,30g,
825,Cadbury's Wildlife,bar,22g,
826,Cadbury's Wispa,standard,39g,
827,,snack size,23g,
828,,treat size,J5g,
829,"Caramac, Nestlé",,,
830,Rowntree,bar,30g,
831,,per square,3g,
832,Chewetts,packet,18g,
833,,each,3g,
834,Chewing gum,average packet,]8g,
835,,stick,2g,
836,"Chews, fruit salad",each,4g,
837,Chewy mints,tube,39g,
838,,each,3g,
839,Chocolate almonds,each,3g,
840,"Chocolate assortments,",,,
841,Cadbury's,each,lOg,
842,Chocolate brazils,each,12g,
843,Chocolate covered ginger,each,8g,
844,Chocolate eclairs,tube,46g,
845,,each,9g,
846,Chocolate mice,"large, each",6g,
847,,"small, each",3g,
848,"Chocolate nuts, M & M's,",,,
849,Mars,packet,47g,
850,Chocolate orange/mint crisp,each,lOg,
851,"Chocolate orange, Terry's",bar,49g,
852,Clear mints,"glacier mints, tube",38g,
853,Coconut Grove,,55g,
854,Coconut ice,,125g,
855,Cola bottles,"(jelly), each",3g,
856,Cola sweets,each,4g,
857,Cote D'or chocolate,1 square,8g,
858,Creamy fudge,1 inch square,Jig,
859,"Crunch, Nestlé Rowntree",bar,31g,
860,"Crunch, Milk, Nestlé",,,
861,Rowntree,bar,33g,
862,Dextrosol,"glucose tablet, each",7g,
863,Dime bar,,30g,
864,,snack size,13g,
865,Dolly mixtures,box,115g,
866,,bag,56g,
867,"Drifter bar, Nestlé Rowntree",standard size,56g,
868,,per finger,28g,
869,Edinburgh rock,average stick,lOOg,
870,Eggs,"Cadbury's caramel egg, each",40g,
871,,"Cadbury's mini creme egg, each",12g,
872,,"Cadbury's mini eggs, each",3g,
873,,"Creme eggs, each",39g,
874,,"Nutcracker, Terry's per half shell",18g,
875,,"Truffle eggs, Galaxy per half shell",17g,
876,Everton mints,each,6g,
877,"Extra strong mints, Trebor",tube,51g,
878,Fisherman's Friend throat,,,
879,lozenges,each,ig,
880,Fizzers,packet,4g,
881,Flump,"pink marshmallow shape, each",2g,
882,Fruit hon bons,each,7g,
883,Fruit drops,tube,16g,
884,"Fruit gums, Nestlé Rowntree",tube,40g,
885,,each,2g,
886,"Fruit pastilles, Nestlé",,,
887,Rowntree,tube,42g,
888,,mini,18g,
889,,each,3g,
890,Fruit salad chews,each,,
891,Fruitellas,tube,34g,
892,,each,4g,
893,Fry's chocolate cream,bar,50g,
894,Fry's turkish delight,bar,51g,
895,Fudge,"no additions, 1 inch square",Jig,
896,"Fudge finger, Cadbury's",,30g,
897,,treat size,15g,
898,Galaxy,bar,47g,
899,Galaxy Gold,bar,43g,
900,Galaxy truffle egg,,34g,
901,"Ginger, chocolate covered",each,8g,
902,Glacier fruits,tube,38g,
903,Glacier mints,"clear mints, tube",38g,
904,,each,3g,
905,Gohstoppers,each,8g,
906,"Golden cup bar, Nestlé",large,60g,
907,Rowntree,,,
908,,standard,37g,
909,,small,22g,
910,"Hacks, throat lozenges",each,3g,
911,Hall mentholyptus,packet,32g,
912,"Halo Chocolate, reduced",,,
913,calorie,bar,29g,
914,Haribo Gummi bears,packet,125g,
915,Hazel whirls,each,8g,
916,Highland toffee bar,,15g,
917,Humbugs,each,8g,
918,Jelly animal,each,12g,
919,"Jelly babies, Bassetts",box,113g,
920,,small bag,56g,
921,,each,6g,
922,Jelly beans,each,3g,
923,"Jelly bears, Gwnmi bears",packet,125g,
924,Jelly bottles,each,3g,
925,Jelly shapes,each,5g,
926,"Jelly tots, Nestlé Rowntree",packet,43g,
927,,mini pack,25g,
928,,each,ig,
929,"Kit Kat, Nestlé Rowntree",4 fingers,49g,
930,,2 fingers,22g,
931,KP chocolate/toffee dips,,34g,
932,,biscuits,17g,
933,,dip,17g,
934,Krunch,bar,31g,
935,"Lion bar, Nestlé Rowntree",standard size,53g,
936,,snack size,34g,
937,,mini,16g,
938,Liqueur chocolates,each,8g,
939,"Liquorice Allsorts, Bassetts",box,113g,
940,,small bag,56g,
941,Liquorice shoelace,each,6g,
942,Liquorice sticks,each,3g,
943,Liquorice toffees,each,8g,
944,Liquorice torpedoes,packet,76g,
945,,6 torpedoes,lOg,
946,Lockets throat lozenges,packet,43g,
947,Logger fruit and nut,,,
948,"chocolate, Terry's",bar,50g,
949,"Logger milk chocolate,",,,
950,Terry's,bar,50g,
951,Lollipops,each,5g,
952,Lovehearts,packet,16g,
953,Lucozade tablets,each,4g,
954,"M & M's, Mars",plain,45g,
955,,peanut,47g,
956,,"plain/peanut, family bag",120g,
957,Mac throat lozenges,each,3g,
958,"Maltesers, Mars",family bag,80g,
959,,standard bag,37g,
960,,each,,
961,,funsize,21g,
962,Mars almond snack bar,,38g,
963,Mars bar,kingsize,lOOg,
964,,standard,65g,
965,,snack,42g,
966,,funsize,19g,
967,Marshmallows,each,5g,
968,,bag,40g,
969,Marzipan fruits,each,12g,
970,Matchmakers,each,2g,
971,Milk chew,each,4g,
972,Milk chocolate assortment,each,lOg,
973,Milk chocolate bar,average,50g,
974,,1 square,,
975,Milk chocolate raisins,packet,44g,
976,,each,2g,
977,Milk gums,each,2g,
978,Milkybar,chunky,37g,
979,,large,33g,
980,,medium,20g,
981,,standard,13g,
982,"Milkybar buttons, Nestlé",,,
983,Rowntree,bag,30g,
984,"Milky Way, Mars",standard,26g,
985,,funsize,17g,
986,"Minstrels, Galaxy",family bag,lOOg,
987,,bag,42g,
988,,each,3g,
989,Mint imperials,each,2g,
990,"Minties, Nestlé Rowntree",tube,44g,
991,,each,4g,
992,"Mintolas, Nestlé Rowntree",standard tube,62g,
993,,mini tube,21g,
994,,each,4g,
995,"Mints, Trebor","extra strong, per tube",51g,
996,,"extra strong, each",3g,
997,"Moments, Terry's",bar,48g,
998,"Murray fruits, Murray mints",tube,50g,
999,,each,5g,
1000,"Munchies, Nestlé Rowntree",standard tube,55g,
1001,,mini tube,18g,
1002,,each,,
1003,"Munchies, Nestlé Rowntree,",tube,,
1004,hazlenut,,,
1005,,each,5g,
1006,Neapolitans,"Terry's nap, each",8g,
1007,Newberry fruits,each,99,
1008,Noisette cup,each,8g,
1009,Nougat,large bar,114g,
1010,,small bar,70g,
1011,,sweet,lOg,
1012,Opal fruits,packet,114g,
1013,,tube,45g,
1014,,fun size,21g,
1015,,each,,
1016,Orange and lemon slices,each,5g,
1017,Orbit gum,stick,2g,
1018,Parma violets,packet,16g,
1019,,each,ig,
1020,"Pastilles, fruit, Nestlé",,,
1021,Rowntree,tube,40g,
1022,,each,3g,
1023,Peanut brittle,bar,58g,
1024,Pear drops,"large, each",6g,
1025,,"small, each",2g,
1026,Penny chew,each,4g,
1027,Peppermint creams,not chocolate covered,6g,
1028,,chocolate covered,7g,
1029,Pineapple chunks,each,5g,
1030,"Polo fruits, Nestlé Rowntree",tube,30g,
1031,"Polo mints, Nestlé Rowntree",tube,30g,
1032,,mini tube,13g,
1033,,each,2g,
1034,Pontefract cakes,each,4g,
1035,"Poppets, Paynes",box,45g,
1036,"Pyramint, Terry's",,30g,
1037,"Quality Street, Nestlé",,,
1038,Rowntree,"chocolate assortment, each",8g,
1039,Refreshers,tube,14g,
1040,,each,Ig,
1041,"Revels, Mars",family packet,105g,
1042,,packet,35g,
1043,,each,2g,
1044,"Ripple bar, Galaxy",,22g,
1045,Ritter chocolate bars,all types,lOOg,
1046,Rock,1 average stick,lOOg,
1047,"Rolo Egg, Nestlé Rowntree",each,34g,
1048,"Robs, Nestlé Rowntree",tube,58g,
1049,,mini tube,27g,
1050,,each,5g,
1051,"Ruffle bar, Cadbury's",,,
1052,Rum and raisin fudge,1 square inch,Jig,
1053,Rum and raisin toffee,each,8g,
1054,"Secret, Nestlé Rowntree",bar,39g,
1055,Sesame snaps,packet,30g,
1056,Sherbet bon bons,each,7g,
1057,"Sherbet Dib Dab, Barratts",lolly,5g,
1058,,sherbet,i4g,
1059,"Sherbet Fountain, Swizzles",sherbet,24g,
1060,,liquorice,5g,
1061,Sherbet bolly,,5g,
1062,Sherbet pips,each,ig,
1063,Skittles,family bag,125g,
1064,,packet,6Og,
1065,,fun size,23g,
1066,"Smarties, Nestlé Rowntree",tube,37g,
1067,,mini box,I5g,
1068,"Snickers bar, Mars",king size,iOOg,
1069,,standard,61g,
1070,,snack bar,38g,
1071,,fun size,19g,
1072,Soft mints,tube,45g,
1073,Strepsils throat lozenges,each,3g,
1074,Suchard chocolate bars,standard,100g,
1075,Suchard praline milk,,,
1076,chocolate bar,,42g,
1077,,Suchard Toblerone,very large,400g
1078,,,large,200g
1079,,,medium,lOOg
1080,,,small,50g
1081,,,mini,35g
1082,,Sugared almonds,each,6g
1083,,Sweet cigarette,each,7g
1084,,"Tasters, Cadbury's",bag,45g
1085,,Terry's Bitz,bar,50g
1086,,"Terry's Chocolate orange,",,
1087,,milk/plain,bar,49g
1088,,Terry's Crispy Caramel,,45g
1089,,Terry's Logger,bar,50g
1090,,Terry's Moments,bar,48g
1091,,"Terry's Neapolitans, 'naps'",each,8g
1092,,Terry's Orange chocolate,1 piece,9g
1093,,Terry's plain chocolate bar,large,150g
1094,,,medium,JOOg
1095,,,small,50g
1096,,Terry's plain chocolate bar,,
1097,,with marzipan,,41g
1098,,Terry's Waifa bar,plain or milk chocolate,35g
1099,,Throat pastilles,each,2g
1100,,Tic-Tacs,box,12g
1101,,"Toblerone, Suchard",large,200g
1102,,,medium,lOOg
1103,,,small,50g
1104,,,mini,35g
1105,,Toffee Cup,,23g
1106,,"Toffee Crisp, Nestlé",,
1107,,Rowntree,standard,48g
1108,,,snack size,33g
1109,,,mini,18g
1110,,Toffee egg,,20g
1111,,Toffees,"not chocolate covered, no additions, each",8g
1112,,"Toffos, plain/mintlassorted",tube,47g
1113,,,each,5g
1114,,Tooty Frooties,bag,41g
1115,,Topic,bar,47g
1116,1i,,,
1117,Tracker,standard bar,37g,
1118,,"grocer pack (6 pack), each",27g,
1119,Tracker buttermunch,,18g,
1120,Trebor mints,packet,28g,
1121,Trebor soft fruits,packet,45g,
1122,Tunes throat lozenges,packet,37g,
1123,,each,3g,
1124,"Turkish delight, Fry's",chocolate covered bar,51g,
1125,Turkish delight,1 square,15g,
1126,"Twix, Mars",standard,56g,
1127,,single finger,28g,
1128,,mini,21g,
1129,"Twix, Tea breaks",,28g,
1130,Victory V's,packet,50g,
1131,"Vice Versa, Nestlé Rowntree",packet,47g,
1132,"Walnut Whip, Nestlé",,,
1133,Rowntree,each,32g,
1134,Wine gums,each,3g,
1135,Wrigley's chewing gum,stick,2g,
1136,XXX Mints,tube,48g,
1137,,each,3g,
1138,Yes,packet,37g,
1139,Yoghurt coated peanuts and,,,
1140,raisins,each,Ig,
1141,"Yorkie, almond,",,,
1142,Nestlé Rowntree,,60g,
1143,"Yorkie milk chocolate bar,",,,
1144,Nestlé Rowntree,,66g,
1145,,1 chunk,lOg,
1146,"Yorkie, raisin and biscuit,",,,
1147,Nestlé Rowntree,,61g,
1148,EGG AND EGG DISHES,,,
1149,Egg custard average portion,140g,,
1150,"Egg, duck's boiled, no shell, average size",,,
1151,Egg fried rice average portion,270g,,
1152,"Egg, hen's boiled, no shell, average size",50g,,
1153,"no shell, size 1",67g,,
1154,"no shell, size 2",61g,,
1155,"no shell, size 3",57g,,
1156,"no shell, size 4",47g,,
1157,"dried egg, 1 tablespoon",5g,,
1158,"Egg, hen's, white average size",32g,,
1159,"Egg, hen's, yolk average size",18g,,
1160,Egg mayonnaise average portion,120g,,
1161,Fried egg average,60g,,
1162,Omelette 2 eggs,120g,,
1163,Poached egg average size,50g,,
1164,"Quiche average slice, small, (1⁄4 purchased",95g,,
1165,quiche),,,
1166,medium,140g,,
1167,large,180g,,
1168,mini,40g,,
1169,Scotch egg average size,120g,,
1170,"mini, picnic egg",60g,,
1171,Scrambled egg 2 eggs,120g,,
1172,Soufflé average portion,hOg,,
1173,"Yorkshire pudding see Pasta, rice and grains",,,
1174,FATS,,,
1175,"Butter or hard margarine average spread on slice of bread, thin",,,
1176,,medium,JOg,
1177,,thick,12g,
1178,"average spread on roll, thin",,lOg,
1179,,medium,12g,
1180,,thick,15g,
1181,average spread on toasted crumpet,,15g,
1182,1 curl,,8g,
1183,"1 portion, packed",,JOg,
1184,"1 restaurant portion, not packed",,20g,
1185,1 teaspoon,,5g,
1186,Butter in 'boil in the bag',,15g,
1187,Butter/margarine in baked,,20g,
1188,potato,,,
1189,Flora 1 portion pack,,JOg,
1190,Oil 1 tablespoon,,Jig,
1191,1 teaspoon,,3g,
1192,"Margarine, soft; low fat average spread on slice of bread, thin",,5g,
1193,spread,medium,7g,
1194,,thick,JOg,
1195,"average spread on roll, thin",,7g,
1196,,medium,JOg,
1197,,thick,i2g,
1198,average spread on toasted crumpet,,lOg,
1199,thin scraping on crispbread,,2g,
1200,1 teaspoon,,5g,
1201,NB For toast add 2g spread per slice,,,
1202,,FISH AND FISH PRODUCTS,,
1203,,"Unless specified, weights are edible portion",,
1204,,Anchovy 1 anchovy,3g,
1205,,1 small tin,50g,
1206,,average on pizza,lOg,
1207,,Caviar 1 tablespoon,19g,
1208,,Cockle 1 cockle,4g,
1209,,small jar,142g,
1210,,average portion,25g,
1211,,"Cod 1 average fillet, small",50g,
1212,,medium,120g,
1213,,large,175g,
1214,,1 average steak,50g,
1215,,"in batter, small",120g,
1216,,medium,180g,
1217,,large,225g,
1218,,"in batter or crumb, oven crispy",lOOg,
1219,,"in sauce, purchased, frozen",170g,
1220,,Cod roe average portion fried or grilled,116g,
1221,,"in batter, average portion",160g,
1222,,"Conger eel average portion, grilled with bones",225g,
1223,,without bones,115g,
1224,,Crab 1 tablespoon crab meat,40g,
1225,,1 small can,85g,
1226,,1 large can,170g,
1227,,"1 average dressed crab, no shell",130g,
1228,,Crabstick 1 stick,17g,
1229,,Dogfish see rock salmon,,
1230,,"Dover sole 1 whole, average, with bone",250g,
1231,FAil,,,
1232,Eel,"1 slice, 5"" long",20g,
1233,,average portion,70g,
1234,Filet-o-fish,McDonald's,156g,
1235,Fish and pasta bake,"purchased ready meal, average",275g,
1236,Fish cakes,I fried in batter,JOOg,
1237,,"1 frozen, fried or grilled",50g,
1238,Fish fingers,"1 fish finger, fried or grilled",28g,
1239,,1 jumbo size fish finger,60g,
1240,Fish in a bun,"BurgerKing, Ocean Catch (bun and fish)",175g,
1241,,"fried fish in a bun, fish only",75g,
1242,Fish in batter,"fast food outlet, average",160g,
1243,,"fish and chip shop, average",170g,
1244,Fish in sauce,"frozen, purchased",170g,
1245,Fish lasagne,"purchased ready meal for one, average",290g,
1246,Fish paste,1 small jar,35g,
1247,,1 medium jar,53g,
1248,,1 large jar,75g,
1249,,average spread on slice of bread,lOg,
1250,Fish pate,"average portion, as starter",40g,
1251,Fish pie,(fish and pastry),,
1252,,average serving,170g,
1253,,"(fish and potato, not pastry)",,
1254,,average serving,250g,
1255,,purchased frozen ready meal for one,320g,
1256,Grey mullet,"I average whole, grilled",lOOg,
1257,Haddock,"1 grilled fillet, small",50g,
1258,,medium,120g,
1259,,large,170g,
1260,,,"1 average fillet fried in batter, small",120g
1261,,,medium,170g
1262,,,large,220g
1263,,,"1 average fillet, oven baked",JOOg
1264,,,"I average fillet, purchased",
1265,,,"breadcrumbed, fried or grilled",120g
1266,,,"1 average fillet, smoked, poached",150g
1267,,Hake,1 average steak,lOOg
1268,,Halibut,"average portion, poached",hOg
1269,,,"1 average steak, grilled",145g
1270,,Herring,"1 filleted, small",85g
1271,,,medium,119g
1272,,,"filleted in tomato sauce, I can",200g
1273,,,"pickled, 1 roll mop herring",90g
1274,,Herring roe,average portion fried or grilled,85g
1275,,Hoki,"1 average fillet, grilled",190g
1276,,Kedgeree,average portion,300g
1277,,King prawn,"1, no shell",8g
1278,,Kipper,"1 grilled fillet, small",85g
1279,,,medium,130g
1280,,,large,170g
1281,,,"1 'Boil-in-the-bag', with butter",170g
1282,,,1 can kipper fillets,200g
1283,,Lemon sole,"1 average, grilled or fried or steamed,",
1284,,,small,lOOg
1285,,,medium,170g
1286,,,large,220g
1287,,Lobster,"average portion, 2 tablespoons",85g
1288,,,"half dressed lobster, with shell",250g
1289,,Mackerel,1 whole fried mackerel,220g
1290,,,average portion grilled mackerel,I60g
1291,I,,,
1292,42,,,
1293,,"1 average smoked mackerel, small",lOOg,
1294,,medium,150g,
1295,,large,200g,
1296,,"1 can mackerel in oil,",,
1297,,small can,200g,
1298,,large can,425g,
1299,,1 can mackerel in curry/tomato/mustard,,
1300,,sauce,I25g,
1301,Monkfish,"average portion, grilled",70g,
1302,Mussels,"1 mussel, no shell",7g,
1303,,"1 average portion, no shells",40g,
1304,,1 jar mussels small,80g,
1305,,large,I98g,
1306,,1 small tin smoked mussels,105g,
1307,Oysters,1 oyster with shell,42g,
1308,,1 oyster without shell,lOg,
1309,,"1 dozen oysters, edible portion",120g,
1310,,1 can smoked oysters,105g,
1311,Paella,"frozen, purchased",284g,
1312,Pilchards,1 canned pilchard in tomato sauce,55g,
1313,,"1 can pilchards, small",215g,
1314,,large,425g,
1315,Plaice,"1 average fillet plaice, steamed or",,
1316,,"grilled,",,
1317,,small,75g,
1318,,medium,130g,
1319,,large,180g,
1320,,"1 average fillet plaice, in breadcrumbs,",,
1321,,"fried, small",90g,
1322,,medium,150g,
1323,,large,200g,
1324,,"1 average fillet plaice, in batter, fried,",,
1325,,small,150g,
1326,,medium,200g,
1327,,large,250g,
1328,,1 average whole plaice in batter or,,
1329,,"crumb, oven ready",112g,
1330,,"1 average whole stuffed plaice,",,
1331,,purchased frozen,190g,
1332,Prawns,"1 prawn, without shell",3g,
1333,,"1 average portion prawns, shelled",60g,
1334,,"1 king prawn, without shell",8g,
1335,,"half a pint of prawns, shelled",142g,
1336,,prawn cocktail,88g,
1337,,prawns,40g,
1338,,lettuce,20g,
1339,,cocktail sauce,28g,
1340,,1 small jar prawns,lOOg,
1341,Rainbow trout,"1 average, grilled,",,
1342,,with bones and head,230g,
1343,,without bones and head,155g,
1344,Red mullet,"1 average whole, grilled",75g,
1345,Red snapper,"1 average whole, fried",200g,
1346,Rock salmon (dogfish),"1 average portion in batter, fried,",,
1347,,small,150g,
1348,,medium,200g,
1349,,large,250g,
1350,Roe,"1 average portion cod's roe, grilled or",,
1351,,fried,116g,
1352,,1 average portion cod's roe in batter,160g,
1353,,"1 average portion herring roe, fried or",,
1354,,grilled,85g,
1355,Salmon,"1 average salmon steak, steamed or",,
1356,,poached,lOOg,
1357,,"1 large salmon steak, grilled",170g,
1358,,1 average portion canned salmon,lOOg,
1359,,1 average portion canned salmon in a,,
1360,,sandwich,45g,
1361,,1 average portion smoked salmon,56g,
1362,Sardines,"6 average, grilled",86g,
1363,,1 average portion canned sardines,JOOg,
1364,,1 average portion in sandwich,50g,
1365,,1 canned sardine,25g,
1366,Scampi,"1 average portion of scampi, fried in",,
1367,,breadcrumbs,170g,
1368,,"1 piece scampi, crumb coated",15g,
1369,Seafood tagliatelle,purchased ready meal for one,235g,
1370,Shrimps,"potted, average portion",50g,
1371,Skate,"1 average large wing, grilled",290g,
1372,,"1 average portion skate, fried in batter",200g,
1373,,"1 average portion skate, cooked in butter",150g,
1374,Sprats,"I portion sprats, fried or grilled with",,
1375,,bones,220g,
1376,,1 sprat fried or grilled with bones,55g,
1377,Squid,1 average portion cooked squid,65g,
1378,,"1 average ring of squid, fried in batter",,
1379,,(calamari),20g,
1380,,1 average portion fried squid in batter,120g,
1381,Swordfish,"1 average portion, grilled",140g,
1382,Taramasalata,"average portion, 1 tablespoon",45g,
1383,,"1 average tub, purchased",112g,
1384,Trout,"1 average trout, fried or grilled,",,
1385,,with bones and head,230g,
1386,,without bones and head,155g,
1387,,1 average stuffed trout,270g,
1388,Tuna,1 average portion for sandwich filling,45g,
1389,,I average portion with salad,92g,
1390,,I small can,lOOg,
1391,Turbot,"1 average whole, grilled",160g,
1392,,,,I
1393,Whelks,"1 whelk, without shell",7g,
1394,,I average portion whelks,30g,
1395,White fish,(If type not specified),,
1396,,small fillet,JOOg,
1397,,medium fillet,150g,
1398,,large fillet,180g,
1399,Whitebait,"1 whitebaii, fried in flour",4g,
1400,,"1 average portion, fried",80g,
1401,Whiting,"1 average portion, fried in batter,",,
1402,,small,120g,
1403,,medium,180g,
1404,,large,240g,
1405,,"1 average portion, steamed",85g,
1406,FRUIT,,,
1407,Apple,1 raw small eating (6 to lb) with core,75g,
1408,,without core,67g,
1409,,I raw medium eating (4 to lb),112g,
1410,,without core,IQOg,
1411,,1 raw large eating (2-3 to lb),I70g,
1412,,without core,153g,
1413,,"stewed with sugar, average portion",hOg,
1414,,"without sugar, average portion",85g,
1415,,"I baked, average portion",190g,
1416,Apricot,1 raw without stone,40g,
1417,,"canned with syrup/juice, average portion",140g,
1418,,I dried,8g,
1419,Avocado pear,1 raw small without skin or stone,lOOg,
1420,,1 raw medium without skin or stone,145g,
1421,,1 raw large without skin or stone,195g,
1422,,average 1⁄2 pear,75g,
1423,Banana,1 raw small without skin,80g,
1424,,1 raw medium without skin,lOOg,
1425,,1 raw large without skin,I20g,
1426,,1 raw slice without skin,5g,
1427,,10 dried chips,13g,
1428,Bilberries,1 raw,2g,
1429,Blackberries,1 raw,5g,
1430,,"stewed with sugar, average portion",140g,
1431,Blackcurrants,5 raw,2g,
1432,,"Stewed with sugar, average portion",140g,
1433,Cherries,1 raw eating without stone,4g,
1434,Clementines,I raw small without skin,40g,
1435,,I raw medium without skin,60g,
1436,,1 raw large without skin,80g,
1437,,Currants,4 dried,ig
1438,,,"1 heaped tablespoon, dried",25g
1439,,Damson,1 raw without stone,15g
1440,,Date,1 raw without stone,25g
1441,,,1 dried without stone,15g
1442,,Fig,I raw,55g
1443,,,1 dried,20g
1444,,Fruit juices,see Beverages,
1445,,Fruit salad,canned with syrup or juice average,
1446,,,portion,115g
1447,,,"fresh with syrup or juice, average",
1448,,,portion,140g
1449,,Gooseberries,"stewed with sugar, average portion",140g
1450,,Grapes,1 raw,5g
1451,,,1 seedless,2g
1452,,,small bunch,lOOg
1453,,Grapefruit,1 raw small with skin,250g
1454,,,1 raw medium with skin,340g
1455,,,1 raw large with skin,425g
1456,,,"1⁄2, raw flesh only",80g
1457,,,"canned with syrup or juice, average",
1458,,,portion,120g
1459,,Greengage,1 raw without stone,50g
1460,,Kiwi fruit,1 raw medium without skin,60g
1461,,Kumquat,1 raw medium,8g
1462,,Lemon,juice from 1⁄2 lemon,lOg
1463,,,1 slice for drinks,20g
1464,,Loquat,1 raw without stone,13g
1465,48.0,,,
1466,Lychee,1 raw without stone or skin,15g,
1467,,canned without stone,13g,
1468,Mandarin orange,"no skin, small",óOg,
1469,,medium,lOOg,
1470,,large,140g,
1471,Mango,1 without stone or peel,150g,
1472,,1 slice,40g,
1473,,canned in syrup average portion,105g,
1474,Medlar,"1 raw, without stone",60g,
1475,Melon,"canteloupe, 1 slice without skin",150g,
1476,,"honeydew, 1 slice without skin",200g,
1477,,"watermelon, 1 slice without skin",200g,
1478,Mineola,average with skin,200g,
1479,Mixed dried fruit,1 heaped tablespoon,25g,
1480,Nectarine,I raw small without skin,130g,
1481,,1 raw medium without skin,150g,
1482,,1 raw large without skin,190g,
1483,Olive,"without stone, stuffed olive",3g,
1484,Orange,1 raw small without skin,120g,
1485,,1 raw medium without skin,160g,
1486,,1 raw large without skin,210g,
1487,,juice from 1 orange,55g,
1488,Passion fruit,"1 average, flesh and seeds only",15g,
1489,Paw paw (papaya),"1 average slice, without skin or stone",140g,
1490,Peach,1 raw small without stone,70g,
1491,,1 raw medium without stone,hOg,
1492,,1 raw large without stone,150g,
1493,,"canned with syrup or juice, average",,
1494,,portion,120g,
1495,,,,491.0
1496,Pear,"cornice, 1 raw medium",150g,
1497,,large,25Og,
1498,,"conference, 1 raw medium",170g,
1499,,"canned, 1⁄2 pear",60g,
1500,,"canned with syrup or juice, average",,
1501,,portion,I35g,
1502,Pineapple,1 raw large slice without skin,80g,
1503,,"canned, one ring, or 6 chunks",40g,
1504,,I fritter,60g,
1505,Plum,"raw, small without stone",30g,
1506,,medium without stone,55g,
1507,,large without stone,85g,
1508,Prunes,1 dried,,
1509,,"6 stewed, without stones t",,
1510,Raisins,1 tablespoon dried,30g,
1511,Raspberries,1 raw,,
1512,,"raw, average portion (15 raspberries)",60g,
1513,,"canned with syrup or juice, average",,
1514,,portion,90g,
1515,Rhubarb,"stewed, with sugar, average portion",140g,
1516,Satsuma,see tangerine,,
1517,Sharon fruit,1 raw,hOg,
1518,Strawberry,1 raw,12g,
1519,,"raw, average portion",lOOg,
1520,,"canned with syrup, average portion",90g,
1521,Sultanas,"1 tablespoon, dried",30g,
1522,Tangerine,1 raw small without skin,50g,
1523,,1 raw medium without skin,70g,
1524,,1 raw large without skin,90g,
1525,ICE-CREAMS AND ICE-LOLLIES,,,
1526,"Bombe chocolate covered, individual",60g,,
1527,"Bomboniera, Walls",73g,,
1528,"Bounty, Mars twin",48g,,
1529,single,24g,,
1530,"Calippo, Walls",139g,,
1531,Catering Brickette strawberry; vanilla (Walls),36g,,
1532,Choc ice Cadbury's Dairy Milk (Nestlé),56g,,
1533,Chunky (Walls),50g,,
1534,Classico (Nestlé),44g,,
1535,Dark and golden (Walls),48g,,
1536,Kick (Walls),58g,,
1537,Cones/comets (no ice cream) large,4g,,
1538,medium,,,
1539,square,4g,,
1540,sugar,Jig,,
1541,"Comnetto, Walls choc 'n' nut",73g,,
1542,dairy cappuccino,73g,,
1543,mint choc chip,75g,,
1544,strawberry,81g,,
1545,"Diddy Tub, Walls strawberry; vanilla",41g,,
1546,"Elite Tub, Walls chocolate; strawberry; vanilla",140g,,
1547,"Fab, Nestlé",Oig,,
1548,"Feast, Walls chocolate, mint",85g,,
1549,nutty,97g,,
1550,Frozen yoghurt average portion,56g,,
1551,"Galaxy Dove, Mars",I04g,,
1552,"Hooded skull, Walls",65g,,
1553,Ice-cream average serving,75g,,
1554,1 average scoop,60g,,
1555,"block, 1 average slice",75g,,
1556,tub,60g,,
1557,"individual slices, vanilla",36g,,
1558,"bar, Golden vanilla (Walls)",48g,,
1559,"King Cone, Nestlé",vanilla and strawberry,81g,
1560,,"vanilla, chocolate and nuts",89g,
1561,,mint choc chip,75g,
1562,Kulfi,"Indian ice-cream, average",80g,
1563,"Magnifico, Walls",,117g,
1564,"Magnum, Walls",almond,96g,
1565,,dark; white chocolate,94g,
1566,"Mars bar, Mars",,57g,
1567,"Max, Walls",banana; caramel,59g,
1568,,chocolate; toffee; vanilla,70g,
1569,"Milky Way, Mars",,19g,
1570,"Mincemeat Bruiee, Walls",,lO8g,
1571,"Mini Juice, Walls",apple; orange,36g,
1572,"Mini Milk, Walls",chocolate; strawberry; vanilla,30g,
1573,"Mini Yogice, Walls",banana; strawberry,33g,
1574,"Mint crisp, Nestlé",,70g,
1575,"Mivvi, Nestlé",pineapple and cream,63g,
1576,,raspberry and cream,65g,
1577,"Mr Men, Nestlé",all types except dairy,45g,
1578,,dairy,40g,
1579,"Opals Iced fruits, Mars",,99g,
1580,"Orange Fruitie, Walls",,82g,
1581,Orange Maid,,71g,
1582,"Penguin ice-cream bar, Mars",,56g,
1583,"Romantica, Walls",I average slice,60g,
1584,"Screwball, Treats",,67g,
1585,"Scribbler, Walls",,45g,
1586,"Sky, Walls",,52g,
1587,"Snickers, Mars",,57g,
1588,"Sparkles, Walls",lemonade; orange,57g,
1589,"Strawberry Split, Walls",,77g,
1590,"Tangle Twister, Walls",,80g,
1591,"Toffee Crumble, Nestlé",,56g,
1592,"Too Good To Be True, Walls",average scoop,62g,
1593,"Tub, ice-cream",,61g,
1594,"TWix, Mars",,57g,
1595,Vanilla,bar,49g,
1596,"Viennetta, Walls",1 average slice,56g,
1597,,individual,55g,
