Food Code,Food Name,Description,Group,Previous,Main data references,Footnote,Energy (kJ),Energy (kcal),Fat (g),Saturates (g),Carbohydrate (g),Sugars (g),Starch (g),Fibre (g),Protein (g),Salt (g),Food_Category,Super_Category,FPS_Weight,FVS_Weight,Standardized_Weight
11-778,"Breakfast cereal, Shredded Wheat, honey nut, Nestle","6 samples, 1 product",AI,,"LGC, Nutrient survey of breakfast cereals, 2004",,1595,378,5.4,1.83,67.2,18.7,48.5,9.2,10.6,0.02,Cereals,Plant-based foods,,,
11-762,"Breakfast cereal, wheat and multigrain, chocolate flavoured, fortified","10 samples, 4 products, including Weetos, Nesquick, Coco Shreddies and own brands",AI,50-092 ,"LGC, Nutrient survey of breakfast cereals, 2004; and industry data, 2013",,1630,385,4.1,1.37,77,29.1,47.9,6.3,7.0,0.45,Cereals,Plant-based foods,,,
11-773,"Breakfast cereal, wheat biscuits, Weetabix type, fortified","10 samples, 6 products, including Weetabix and own brands",AI,11-505 ,"LGC, Nutrient survey of breakfast cereals, 2004; and industry data, 2013",,1467,347,1.9,0.26,66.3,3.8,62.5,9.7,11.3,0.65,Cereals,Plant-based foods,,,
11-774,"Breakfast cereal, wheat biscuits, Weetabix type, unfortified","6 samples, 3 products, organic and value products",AI,,Nutrient survey of breakfast cereals 2004,,1467,347,1.9,0.26,66.3,3.8,62.5,9.7,11.3,0.7,Cereals,Plant-based foods,,,
16-006,"Bream, Sea, raw",Literature sources,JA,,"Fish and Fish Products Supplement, 1993",,405,96,2.9,0.87,0,0,0,0,17.5,0.28,Uncategorized,Other,,,
15-700,"Broccoli in cheese sauce, made with semi-skimmed milk, homemade",Recipe from review of recipe collection,DR,15-423 ,Updated 2014,,513,123,7.5,4.52,5.1,2.8,2.3,2.7,7.5,0.33,Milk and milk products,Animal-based foods,,,
15-701,"Broccoli in cheese sauce, made with skimmed milk, homemade",Recipe from review of recipe collection,DR,15-424 ,Updated 2014,,485,116,6.9,4.18,5.1,2.8,2.3,2.5,7.3,0.33,Milk and milk products,Animal-based foods,,,
15-702,"Broccoli in cheese sauce, made with whole milk, homemade",Recipe from review of recipe collection,DR,15-422 ,Updated 2014,,530,128,8.2,5,5,2.7,2.3,2.5,7.2,0.32,Milk and milk products,Animal-based foods,,,
13-583,"Broccoli, green, boiled in salted water","22 samples, autumn and winter, UK grown and imported, pre-packed and loose",DG,13-171 ,"DH, Nutrient analysis of fresh and processed fruit and vegetables, 2013",,145,35,0.5,0.12,2.7,1.6,0.6,2.8,3.3,0.38,Oils and fats,Other,,,
13-503,"Broccoli, green, boiled in unsalted water","As raw, boiled for 3-8 minutes, Calabrese",DG,13-172 ,"DH, Nutrient analysis of fruit and vegetables, 2013",,145,35,0.5,0.12,2.7,1.6,0.6,2.8,3.3,0.02,Oils and fats,Other,,,
13-502,"Broccoli, green, raw","22 samples, autumn and winter, UK grown and imported, pre-packed and loose, Calabrese",DG,13-170 ,"DH, Nutrient analysis of fruit and vegetables, 2013",,183,44,0.6,0.15,3.1,1.9,0.5,4,4.3,0.02,Uncategorized,Other,,,
13-504,"Broccoli, green, steamed","As raw, steamed for 3-9 minutes, Calabrese",DG,,"DH, Nutrient analysis of fruit and vegetables, 2013",,179,43,0.5,0.12,3.4,2,0.7,3.8,4.1,0.02,Non-alcoholic beverages,Beverages,,,
13-176,"Broccoli, purple sprouting, boiled in unsalted water",Based on boiled in salted water,DG,,"IFR, The nutritional composition of retail vegetables in the UK, 1984-1987",,102,24,0.6,0.1,1,0.9,0.1,3.1,2.1,0.02,Oils and fats,Other,,,
13-174,"Broccoli, purple sprouting, raw",Tough stems and coarse leaves removed,DG,,"IFR, The nutritional composition of retail vegetables in the UK, 1984-1987",,193,46,1.1,0.2,2.3,2.1,0.2,5.5,3.9,0.03,Uncategorized,Other,,,
17-706,Brown fruity sauce,"10 bottles, 4 brands",WCN,17-293 ,"LFRA, Nutrient analysis of miscellaneous foods, 1992; and industry data, 2013",,400,94,0.1,0,21.8,19.4,2.4,0.7,1.2,1.28,Fruit,Plant-based foods,,,
17-678,"Brown sauce, reduced salt/sugar",Estimated from brown sauce and label data,WCN,,"LFRA, Nutrient analysis of miscellaneous foods, 1992; and industry data, 2013",,348,82,0.1,0,19.2,14,5.3,0.7,0.7,0.98,Sugars and confectionery,Processed foods,,,
11-1127,"Brownies, chocolate, homemade",Recipe,AN,,Updated 2014,,2140,513,30.8,16.43,51.4,43.9,7.5,1.7,6.7,0.47,Uncategorized,Other,40.0,,40.0
13-630,"Brussels sprouts, boiled in unsalted water","11 samples, UK, including standard, peeled and baby. Base trimmed and outer leaves removed, boiled for 4-10 minutes",DG,13-179,"PHE, Nutrient analysis of fresh and processed fruit and vegetables with respect to fibre, 2017",,164,39,0.4,0.09,4,3.6,0.3,3.2,3.1,0.01,Oils and fats,Other,90.0,,90.0
13-177,"Brussels sprouts, raw","Base trimmed, outer leaves removed",DG,50-746 ,"Reviewed 2013. IFR, The nutritional composition of retail vegetables in the UK, 1984-1987. Vitamin K1 from Bolton-Smith et al Br.J. Nutr.83, 2000",,214,51,1.4,0.3,4,3.1,0.7,4.1,3.5,0.02,Uncategorized,Other,90.0,,90.0
15-704,"Bubble and squeak, fried in rapeseed oil, homemade","Fried cabbage and potato. Recipe from Wiles et al, 1980",DR,15-383 ,Updated 2014,,535,129,9.0,0.62,9.3,1.6,7.7,1.9,1.7,0.01,Nuts and seeds,Plant-based foods,,,
15-703,"Bubble and squeak, fried in sunflower oil, homemade","Fried cabbage and potato. Recipe from Wiles et al, 1980",DR,15-426 ,Updated 2014,,540,130,9.1,1.11,9.4,1.6,7.8,1.9,1.7,0.01,Oils and fats,Other,,,
11-006,"Buckwheat, groats",Literature sources,AA,,"Cereals and Cereal Products Supplement, 1988. Reviewed 2014",,1518,358,1.5,0.33,76.8,0,76.8,2.3,8.1,0,Uncategorized,Other,,,
17-823,"Build up, powder, shake, assorted flavours","Manufacturer's data (Nestlé). Average of chocolate, strawberry, banana and vanilla flavours",PAA,17-534 ,Industry data 2013; some minerals estimated from MW5,,1460,345,0.7,0.4,60,59,0,8.2,20.5,0.63,Uncategorized,Other,,,
17-728,"Build-up powder, soup, assorted flavours","Manufacturer's data (Nestlé). Average of chicken, vegetable, tomato and potato & leek flavours",PAA,17-535 ,"Industry data, 2013",,1748,416,14.9,4.6,53,13.6,24,6.5,14.4,2.45,Uncategorized,Other,,,
19-651,"Burger, beef, 62-85% beef, raw","10 samples, 6 brands containing onion, frozen and chilled",MBG,19-042 ,"LGC, Analytical survey of meat products, 1990-1991; and industry data, 2013",,916,220,15.2,5.72,4.6,2.6,2,0.7,15.9,0.83,Uncategorized,Other,,,
19-546,"Burger, beef, 62-85%, beef, grilled","Beefburgers with added onion. 10 samples, 6 brands, frozen and chilled",MBG,19-043 ,"LGC, Analytical survey of meat products, 1990-1991; and industry data, 2013",,960,230,13.8,5.22,7.8,2,5.8,0.6,18.3,1.1,Uncategorized,Other,,,
19-490,"Burger, beef, 98-99% beef, fried in vegetable oil","8 samples, 3 brands, chilled and frozen",MBG,19-029 ,"LGC, Analytical survey of meat products, 1990-1991; and industry data, 2013. Fibre estimated from product labels",,1376,331,23.9,10.7,0.1,0.1,0,0.7,28.5,1.18,Vegetables,Plant-based foods,,,
19-491,"Burger, beef, 98-99% beef, grilled","8 samples, 3 brands, chilled and frozen",MBG,19-030 ,"LGC, Analytical survey of meat products, 1990-1991; and industry data, 2013. Fibre estimated from product labels",,1361,327,24.4,10.9,0.1,0.1,0,0.7,26.5,1,Uncategorized,Other,,,
19-492,"Burger, beef, 98-99% beef, raw","8 samples, 3 brands, chilled and frozen",MBG,19-309 50-503 ,"LGC, Analytical survey of meat products, 1990-1991; and industry data, 2013. Fibre estimated from product labels",,1211,292,24.7,10.71,0.1,0.1,0,0.5,17.1,0.73,Uncategorized,Other,,,
19-553,"Burger, beef, fried in rapeseed oil, homemade",Recipe,MR,19-354 ,Updated 2014,,1232,296,21.9,8.32,0.8,0.8,0,0.3,23.9,0.27,Nuts and seeds,Plant-based foods,,,
19-555,"Burger, beef, grilled, homemade",Recipe,MR,19-356 ,Updated 2014,,1194,287,20.3,8.54,0.9,0.9,0,0.3,25.0,0.29,Uncategorized,Other,,,
19-554,"Burger, beef, with bun, fried in rapeseed oil, homemade",Recipe,MR,19-356 ,Updated 2014,,1206,289,18.6,6.93,9.2,1,8.2,0.2,21.2,0.49,Nuts and seeds,Plant-based foods,,,
19-556,"Burger, beef, with bun, grilled, homemade",Recipe,MR,19-357 ,Updated 2014,,1179,283,17.4,7.11,9.2,1,8.2,0.4,22.1,0.5,Uncategorized,Other,,,
19-493,"Burger, Big Mac, takeaway","Includes two beefburgers, bun, sauce, cheese, lettuce, onions and pickles",MBG,19-310 ,"Industry data (McDonald's), 2013",,977,233,11.2,4.7,19.2,3.7,15.5,1.9,13.1,0.98,Uncategorized,Other,,,
19-545,"Burger, cheeseburger, takeaway","Includes beefburger, bun, cheese, mustard, ketchup, onions and pickles",MBG,19-314 ,"Industry data, 1998, 2013; and calculated from ingredients",,1069,255,10.4,4.9,25.9,5.4,20.5,1.4,13.6,1.4,Uncategorized,Other,,,
19-315,"Burger, chicken, takeaway","Includes chicken burger, bun, lettuce and mayonnaise",MBG,19-041 ,"Reviewed 2013. Meat Products and Dishes Supplement, 1996. Proximates as weighted average of manufacturer data (McDonalds, KFC, Wimpy (5:4:1))",,N,N,10.8,N,N,N,N,1.3,12.5,1.4,Uncategorized,Other,,,
18-502,"Burger, chicken/turkey, coated, retail, grilled","10 samples, 7 products, breaded and battered",MCA,,"DH, Nutrient analysis of a range of processed foods with particular reference to trans fatty acids, 2013",,1109,266,15.5,2.63,17,0.9,16.1,0.8,14.2,0.96,Uncategorized,Other,,,
19-544,"Burger, hamburger, takeaway","Includes bun, beefburger, mayonnaise, lettuce, tomato, ketchup, onions and pickles",MBG,19-311 ,"Industry data (Burger King), 2013; and calculation from ingredient proportions",,1038,247,8.3,3.5,28.7,6.3,22.4,1.8,13.5,1.2,Uncategorized,Other,,,
19-487,"Burger, Quarter Pounder with cheese, takeaway","Portion includes a quarter pound beefburger, ketchup, mustard, onions, pickles and slice of cheese",MBG,19-312 ,"Industry data (McDonald's), 2013",,1108,265,13.2,6.8,19.4,5.2,14.2,1.6,16.3,1.16,Uncategorized,Other,,,
19-514,"Burger, Whopper, takeaway","Portion includes bun, beefburger, mayonnaise, lettuce, tomato, ketchup, onions and pickles",MBG,19-313 ,"Industry data (Burger King), 2013; and calculation from ingredient proportions",,933,223,12.1,3.3,17.6,4,13.6,1.2,10.4,0.89,Uncategorized,Other,,,
17-685,"Butter, salted","Average of UK/Irish, Danish, French, New Zealand",OA,17-485 ,"LGC, Nutrient analysis of ‘other’ milk and cream, 1998; and industry data, 2013. Fats and fatty acids as Fatty Acid Supplement 17-013, 1998. Vitamin K1 Bolton-Smith et al, Br J Nutr, 83, 2000",,3062,745,82.2,52.09,0.6,0.6,0,0,0.6,1.83,Uncategorized,Other,,,
17-655,"Butter, spreadable (75-80% fat)","9 samples, 7 products, containing butter and vegetable oil, including Anchor, Lurpak, Country Life and own brand equivalents",OA,17-486 ,"DH, Nutrient analysis of a range of processed foods with particular reference to trans fatty acids, 2011",,2941,715,79.1,34.15,0.5,0.5,0,0,0.4,1.21,Oils and fats,Other,,,
17-656,"Butter, spreadable, light (60% fat)","11 samples, 7 products, containing vegetable oil, including Anchor Lighter, Lurpak Lighter, Country Life Lighter and own brand equivalents",OA,,"DH, Nutrient analysis of a range of processed foods with particular reference to trans fatty acids, 2011",,2249,547,60.2,25.7,0.8,0.8,0,0,0.5,1.17,Oils and fats,Other,,,
17-661,"Butter, unsalted","Average of UK/Irish, Danish, French, New Zealand",OA,,"LGC, Nutrient analysis of ‘other’ milk and cream, 1998. Fats and fatty acids as FA Supplement 17-013, 1998. Vitamin K1 Bolton-Smith et al, Br J Nutr, 83, 2000",,3062,745,82.2,52.09,0.6,0.6,0,0,0.6,0.02,Uncategorized,Other,,,
17-001,"Butteroil, unsalted",Calculated from butter,OB,,"Miscellaneous Foods Supplement, 1994",,3685,896,99.3,65.6,0,0,0,0,0.6,0.04,Oils and fats,Other,,,
19-631,"Cabbage leaves, stuffed with lamb and rice, homemade",Recipe,MR,19-437 ,Updated 2014,,415,99,4.2,1.8,7.4,1.6,5.8,1.5,7.2,0.38,Uncategorized,Other,,,
13-581,"Cabbage, average, boiled in unsalted water",Average of green and white cabbage,DG,,"DH, Nutrient analysis of fruit and vegetables, 2013",,92,22,0.2,0.02,2.7,2.7,0,2.2,1.2,0.01,Oils and fats,Other,,,
13-582,"Cabbage, average, raw",Average of white (13-509) and green (13-510) cabbage,DG,13-468 ,"DH, Nutrient analysis of fruit and vegetables, 2013",,141,34,0.2,0.02,4.4,4.4,0,3.5,1.8,0.02,Uncategorized,Other,,,
13-187,"Cabbage, Chinese, raw","Base trimmed, outer leaves removed",DG,,"IFR, The nutritional composition of retail vegetables in the UK, 1984-1987",,60,14,0.2,0,1.4,1.4,0,1.3,1.0,0.02,Uncategorized,Other,,,
13-511,"Cabbage, green, boiled in unsalted water","As raw, boiled for 4-8 minutes",DG,13-444 ,"DH, Nutrient analysis of fruit and vegetables, 2013",,91,22,0.2,0.04,2.3,2.3,0,2.2,1.5,0.01,Oils and fats,Other,,,
13-510,"Cabbage, green, raw","22 samples, autumn and winter, UK grown and imported, pre-packed and loose",DG,13-468 ,"DH, Nutrient analysis of fruit and vegetables, 2013",,151,36,0.2,0.04,4.1,4.1,0,4.1,2.4,0.02,Uncategorized,Other,,,
13-540,"Cabbage, red, boiled in unsalted water","Outer leaves and stem removed. Shredded and boiled 19 minutes, based on boiled in salted water",DG,,"Reviewed 2013. IFR, The nutritional composition of retail vegetables in the UK, 1984-1987",,82,20,0.3,0,2.3,2,0.1,2.3,0.8,0.02,Oils and fats,Other,,,
15-705,"Cabbage, red, cooked with apple",Recipe from literature sources,DR,15-427 ,Updated 2014,,241,57,2.6,0.77,7.5,7.4,0.1,0.1,0.9,0.08,Uncategorized,Other,,,
13-190,"Cabbage, red, raw",Outer leaves and stem removed,DG,,"IFR, The nutritional composition of retail vegetables in the UK, 1984-1987",,111,27,0.3,0,3.4,3.3,0.1,2.9,1.1,0.02,Uncategorized,Other,,,
13-584,"Cabbage, white, boiled in unsalted water",Calculated from 13-509 using dry matter weights,DG,,"DH, Nutrient analysis of fruit and vegetables, 2013",,90,21,0.1,0,3.2,3.2,0,2.1,0.8,0.01,Oils and fats,Other,,,
13-509,"Cabbage, white, raw","19 samples, autumn and winter, UK grown and imported, pre-packed and loose",DG,13-445 ,"DH, Nutrient analysis of fruit and vegetables, 2013",,131,31,0.1,0,4.8,4.8,0,3,1.2,0.02,Uncategorized,Other,,,
11-740,"Cake bars, chocolate","10 samples, 10 products, including chocolate chip, Galaxy, Milky Way, Penguin and Crunchie",AN,,"Direct Laboratories, Nutrient analysis catch up project, 2003",,1831,438,21.6,9.9,54.3,39.8,13.6,1.9,5.5,0.59,Uncategorized,Other,,,
11-916,Cake rusks,"South Asian sweet bread, 6 samples, ethnic food store",AM,,"University of Leeds, Nutritional analysis of commonly consumed South Asian foods in the UK, 2007",,1894,453,23.1,8.08,51.7,23.4,28.3,1.6,8.7,0.9,Uncategorized,Other,6.0,,6.0
11-835,"Cake, battenberg, retail","10 samples, 4 products, including standard and mini cakes",AN,11-574 ,"DH, Nutrient analysis of biscuits, buns, cakes and pastries, 2011",,1517,360,9.9,3.08,62.6,54.4,8.3,1.5,4.4,0.34,Uncategorized,Other,45.0,,45.0
11-836,"Cake, carrot, iced, retail","10 samples, 8 products, including plain carrot and products with orange and walnuts",AN,,"DH, Nutrient analysis of biscuits, buns, cakes and pastries, 2011; and industry data, 2013",,1591,380,20.2,5.14,44.1,32.9,11.2,1.9,4.6,0.55,Uncategorized,Other,,,
11-1041,"Cake, carrot, with topping, homemade","Recipe, with topping",AN,11-616 ,Based on Mary Berry's ultimate cake book. Recalculated 2014,,1464,351,21.1,5.19,35.3,22.7,12.6,1.5,4.2,0.54,Uncategorized,Other,,,
11-1044,"Cake, cherry, homemade",Recipe,AN,11-640 ,Recalculated 2014,,1637,389,14.4,4.67,59.1,38.4,20.7,1.2,5.3,0.57,Uncategorized,Other,5.0,,5.0
11-527,"Cake, chocolate fudge","12 samples, 6 brands. Mixture of fresh and frozen",AN,,"ADAS Laboratories, Nutrient analysis of ice creams and desserts, 1999",,1527,364,14.3,4.57,52.6,41.5,10.3,1.9,5.2,0.66,Uncategorized,Other,98.0,,98.0
11-1046,"Cake, chocolate, not filled, homemade",Recipe,AN,11-641 ,Recalculated 2014,,1852,443,24.1,8.28,47.8,27,20.7,1.8,7.9,0.88,Uncategorized,Other,,,
11-1047,"Cake, chocolate, with butter icing, homemade",Recipe,AN,11-642 ,Recalculated 2014,,1910,457,25.2,10.43,50.4,33.8,16.5,1.4,6.3,0.84,Uncategorized,Other,,,
11-830,"Cake, chocolate, with filling and icing, retail","10 samples, 7 products, including celebration cakes, tray bakes and layer cakes",AN,,"DH, Nutrient analysis of biscuits, buns, cakes and pastries, 2011",,1762,422,23.7,9.46,45.8,34.9,10.9,2.9,4.9,0.65,Uncategorized,Other,,,
11-1053,"Cake, coconut, homemade",Recipe,AN,11-643 ,Updated 2014,,1787,427,22.1,10.44,48.7,20.3,28.5,2.6,7.1,0.97,Nuts and seeds,Plant-based foods,40.0,,40.0
11-829,"Cake, fruit, retail","10 samples, 9 products, including Genoa, sultana and cherry slab, Manor House and country slices",AN,11-529 ,"DH, Nutrient analysis of biscuits, buns, cakes and pastries, 2011",,1457,347,12.1,4.64,53,38.8,14.2,3,5.0,0.48,Fruit,Plant-based foods,,,
11-1005,"Cake, fruit, rich, homemade",Recipe,AN,11-577 ,Recalculated in 2013,,1516,360,11.1,6.48,59.5,48.8,10.7,1.5,4.1,0.33,Fruit,Plant-based foods,,,
11-991,"Cake, fruit, rich, iced, homemade",With marzipan and royal icing. Recipe,AN,11-578 ,Recalculated in 2013,,1538,365,9.6,4.53,64.7,57.3,7.4,1.3,3.9,0.25,Fruit,Plant-based foods,,,
11-1072,"Cake, fruit, wholemeal, homemade",Recipe,AN,11-579 ,Updated 2014,,1480,353,14.1,4.59,49.1,28,21.1,2.4,6.1,0.6,Fruit,Plant-based foods,,,
11-1090,"Cake, lardy, homemade",Recipe,AN,11-645 ,Updated 2014,,1553,370,15.7,6.44,48.9,9,39.8,2.3,7.3,0.05,Uncategorized,Other,45.0,,45.0
11-833,"Cake, loaf, retail","7 samples, 2 products, including ginger and golden syrup",AN,,"DH, Nutrient analysis of biscuits, buns, cakes and pastries, 2011",,1387,330,11.0,3.16,53.4,32.7,20.6,1.4,3.6,0.92,Uncategorized,Other,,,
11-957,"Cake, sponge, fatless, homemade",Not filled recipe,AN,11-581 ,As MW6. Recalculated in 2013.,,1247,295,5.6,1.59,50.3,29.1,21.2,1.2,10.3,0.23,Oils and fats,Other,58.0,,58.0
11-956,"Cake, sponge, homemade",Not filled. Recipe,AN,11-580 ,Updated 2014,,1940,464,26.4,15.69,49.6,28.9,20.7,1.1,6.6,1.08,Uncategorized,Other,,,
11-832,"Cake, sponge, soft iced, retail","10 samples, 8 products, including angel cake, Madeira and lemon drizzle",AN,,"DH, Nutrient analysis of biscuits, buns, cakes and pastries, 2011",,1563,373,15.8,6.21,51.7,37.1,14.5,1.3,5.3,0.63,Uncategorized,Other,,,
11-1118,"Cake, sponge, with butter icing, homemade",Recipe,AN,11-647 ,Updated 2014,,2000,479,27.3,16.57,52.8,38.1,14.7,0.8,4.7,0.96,Uncategorized,Other,,,
11-532,"Cake, sponge, with dairy cream and jam, frozen","10 samples, 8 brands",AN,11-215 ,"ADAS Laboratories, Nutrient analysis of ice creams and desserts, 1999",,1198,285,10.9,N,41.2,23.3,16.9,2.7,4.3,0.55,Milk and milk products,Animal-based foods,39.0,,39.0
11-831,"Cake, sponge, with jam and butter cream, retail","10 samples, 8 products, including sandwich and Swiss roll",AN,,"DH, Nutrient analysis of biscuits, buns, cakes and pastries, 2011; and industry data, 2013",,1508,359,14.8,6.96,51.9,36,15.9,1.2,4.0,0.55,Uncategorized,Other,,,
11-1125,"Cake, Swiss roll, homemade",Recipe,AN,11-648 ,Updated 2014,,1233,292,4.2,1.18,55.4,40.7,14.7,0.8,7.6,0.19,Uncategorized,Other,30.0,,30.0
11-834,"Cake, Swiss rolls, chocolate covered and filled, retail","10 samples, 5 products, including large, individual and bite-sized rolls",AN,11-533 ,"DH, Nutrient analysis of biscuits, buns, cakes and pastries, 2011",,1772,424,22.7,11.68,48.4,39.5,8.9,3.1,4.9,0.65,Uncategorized,Other,,,
11-840,Cakes from 'healthy eating' ranges,"10 samples, 7 products, including carrot, lemon and apple slices",AN,,"DH, Nutrient analysis of biscuits, buns, cakes and pastries, 2011; and industry data, 2013",,1121,265,2.5,1.22,55.7,45.4,10.4,2.6,3.6,0.18,Uncategorized,Other,,,
11-990,"Cakes, crispie, homemade",Chocolate recipe,AN,11-576 ,Recalculated in 2013,,1950,464,18.0,10.64,69,41.1,27.9,2.1,5.6,0.42,Snack foods,Processed foods,4.0,,4.0
11-839,"Cakes, fancy iced, individual, retail","10 samples, 8 products, including French and fondant fancies, cup cakes, fairy cakes, angel and lemon slices",AN,,"DH, Nutrient analysis of biscuits, buns, cakes and pastries, 2011",,1616,385,16.8,5.86,54.3,42.1,12.3,1.1,3.6,0.69,Uncategorized,Other,,,
16-404,"Calamari, coated in batter, baked","5 samples, 2 products, frozen",JM,16-266 16-265 ,"DH, Nutrient analysis of fish and fish products, 2013",,1207,289,17.5,2.07,23.5,0,23.5,1.9,8.5,2.96,Bakery products,Processed foods,,,
15-706,"Callaloo and cho cho, homemade",West Indian dish. Spinach and cho cho. Recipe from a personal collection,DR,15-426 ,Updated 2014,,332,80,6.6,2.84,2.6,2.3,0.1,1.6,1.9,0.3,Uncategorized,Other,,,
15-707,"Callaloo and okra, homemade",West Indian dish. Spinach and okra. Recipe from a personal collection,DR,15-429 ,Updated 2014,,317,77,6.4,2.75,2.2,1.9,0.2,1.6,1.8,0.25,Uncategorized,Other,,,
15-708,"Cannelloni, spinach, homemade","Recipe, Pasta tubes with spinach and ricotta filling. Recipe from dietary survey records",DR,15-430 ,Updated 2014,,592,141,6.9,1.81,14.1,2,12.1,0.8,5.3,0.19,Uncategorized,Other,,,
15-709,"Cannelloni, vegetable, homemade",Pasta tubes with mixed vegetable filling. Recipe from dietary survey records,DR,15-367 ,Updated 2014,,648,155,8.5,2.87,14.2,2.3,11.9,0.7,5.1,0.16,Vegetables,Plant-based foods,,,
17-649,"Caramel bars and sweets, chocolate covered","10 samples, 6 brands, including Cadbury's Caramel, Curly Wurly, Rolo, Galaxy Caramel, Toffee Poppets and own brands",SEA,,"DH, Nutrient analysis of a range of processed foods with particular reference to trans fatty acids, 2013",,2084,497,23.6,13.78,66.8,53.6,0,0.7,4.1,0.4,Sugars and confectionery,Processed foods,,,
13-808,Caraway seeds,Literature sources,H,,"Marsh et al. (1977) Composition of foods: spices and herbs, raw, processed and prepared, Agriculture Handbook No. 8-2",,1381,334,14.6,0.6,11.8,0.6,11.2,38,19.8,0.04,Nuts and seeds,Plant-based foods,,,
19-558,"Carbonnade of Beef, homemade",Recipe,MR,19-378 ,Updated 2014,,566,135,6.5,2.12,4.6,2.5,1.6,0.8,12.8,0.58,Uncategorized,Other,,,
13-809,"Cardamom, ground",Literature sources,H,,"Vegetables, Herbs and Spices Supplement, 1991",,1190,285,6.7,0.68,33.8,4.3,29.5,23.1,10.8,0.05,Uncategorized,Other,,,
16-172,"Carp, raw",Literature sources,JA,,"Fish and Fish Products Supplement, 1993",,471,112,4.7,0.9,0,0,0,0,17.5,0.11,Uncategorized,Other,,,
13-607,Carrot juice,"7 samples, 3 brands. Bottles and cartons",DG,13-199 ,"LGC, Fruit and vegetables, 1989-1990; industry data, 2014; and calculated from raw carrots",,111,26,0.1,0,5.5,5.5,0,0.6,0.5,0.13,Non-alcoholic beverages,Beverages,,,
13-497,"Carrots, old, boiled in unsalted water","As raw, boiled for 5-10 minutes",DG,13-447 ,"DH, Nutrient analysis of fruit and vegetables, 2013",,148,35,0.5,0.15,5.8,5.3,0.3,2.8,0.5,0.07,Oils and fats,Other,,,
13-498,"Carrots, old, microwaved","As raw, cooked for 3-8 minutes",DG,,"DH, Nutrient analysis of fruit and vegetables, 2013",,162,39,0.2,0.06,7.2,7,0,2.8,0.6,0.11,Uncategorized,Other,,,
13-496,"Carrots, old, raw","22 samples, autumn and winter, UK grown, pre-packed and loose, top and tailed, peeled and not peeled",DG,13-446 ,"DH, Nutrient analysis of fruit and vegetables, 2013",,178,42,0.4,0.1,7.3,7,0.1,3.9,0.4,0.07,Uncategorized,Other,,,
13-449,"Carrots, young, boiled in unsalted water","Ends trimmed, scrubbed, sliced and boiled 15 minutes",DG,13-205 50-757 ,"Reviewed 2013. IFR, The nutritional composition of retail vegetables in the UK, 1984-1987; carotenoids from LGC 'Determination of cis carotenoids in foodstuffs' 1997. Vitamin K1 from Bolton-Smith et al Br.J. Nutr.83, 2000",,120,29,0.4,0.1,4.3,4.1,0.2,2.8,0.6,0.06,Oils and fats,Other,,,
13-565,"Carrots, young, canned in water, re-heated, drained","10 cans, 5 brands, no added salt",DG,,"LGC, Canned and other processed vegetable products survey, 1985; and industry data, 2013. Carotenoids from LGC 'Determination of cis carotenoids in foodstuffs' 1997",,110,26,0.3,0.1,4.1,3.6,0.4,2.6,0.6,0,Non-alcoholic beverages,Beverages,,,
13-448,"Carrots, young, raw","Ends trimmed, scrubbed",DG,13-023 50-756 ,"Reviewed 2013. IFR, The nutritional composition of retail vegetables in the UK, 1984-1987; carotenoids from LGC 'Determination of cis carotenoids in foodstuffs' 1997. Vitamin K1 from Bolton-Smith et al Br.J. Nutr.83, 2000",,161,38,0.5,0.1,5.9,5.5,0.2,3.9,0.7,0.1,Uncategorized,Other,,,
14-060,"Cashew fruit, flesh only",Literature sources,FA,,"Fruit and Nuts Supplement, 1992",,152,36,0.4,0.1,6.8,6.8,0,0.9,0.9,0.02,Fruit,Plant-based foods,,,
14-811,"Cashew nuts, kernel only, plain","20 samples, whole and broken kernels",GA,,"LGC, Savoury snacks and nuts, 1989-1991",,2456,593,48.2,9.5,16.7,4.4,12.3,4.3,20.9,0.04,Nuts and seeds,Plant-based foods,,,
14-812,"Cashew nuts, kernel only, roasted and salted","10 samples, kernels only",GA,50-976 ,"Reviewed 2013. LGC, Savoury snacks and nuts, 1989-1991",,2624,633,50.9,10.1,17.3,5.3,12,4.3,24.2,0.73,Nuts and seeds,Plant-based foods,,,
13-209,"Cassava, baked",Literature sources and calculation from raw,DG,,"Vegetables, Herbs and Spices Supplement, 1991",,652,154,0.2,0.1,36.4,1.4,35,1.8,0.6,0.01,Bakery products,Processed foods,,,
13-210,"Cassava, boiled in unsalted water",Literature sources and calculation from raw,DG,,"Vegetables, Herbs and Spices Supplement, 1991",,550,130,0.2,0.1,30.5,1.3,29.2,1.8,0.6,0.01,Oils and fats,Other,,,
13-212,"Cassava, frozen, raw",5 samples (Proscana),DG,,"Vegetables, Herbs and Spices Supplement, 1991",,594,140,0.2,0.1,33.1,1,32.1,1.8,0.6,0.02,Uncategorized,Other,,,
13-208,"Cassava, raw",Literature sources,DG,,"Vegetables, Herbs and Spices Supplement, 1991",,602,142,0.2,0.1,33.5,1.4,32.1,1.8,0.6,0.01,Uncategorized,Other,,,
13-211,"Cassava, steamed",Literature sources and calculation from raw,DG,,"Vegetables, Herbs and Spices Supplement, 1991",,602,142,0.2,0.1,33.5,1.4,32.1,1.8,0.6,0.01,Non-alcoholic beverages,Beverages,,,
