Food_Code,Food_Name,Description,Food_Group,Previous,Main data references,Footnote,Edible proportion,Specific gravity,Total solids,Nitrogen conversion factor ,Glycerol conversion factor
13-502,"Broccoli, green, raw","22 samples, autumn and winter, UK grown and imported, pre-packed and loose, Calabrese",DG,13-170 ,"DH, Nutrient analysis of fruit and vegetables, 2013",,0.56,,,6.25,0.8
13-504,"Broccoli, green, steamed","As raw, steamed for 3-9 minutes, Calabrese",DG,,"DH, Nutrient analysis of fruit and vegetables, 2013",,1.00,,,6.25,
13-176,"Broccoli, purple sprouting, boiled in unsalted water",Based on boiled in salted water,DG,,"IFR, The nutritional composition of retail vegetables in the UK, 1984-1987",,1.00,,,,
13-174,"Broccoli, purple sprouting, raw",Tough stems and coarse leaves removed,DG,,"IFR, The nutritional composition of retail vegetables in the UK, 1984-1987",,0.64,,,,
17-706,Brown fruity sauce,"10 bottles, 4 brands",WCN,17-293 ,"LFRA, Nutrient analysis of miscellaneous foods, 1992; and industry data, 2013",,1.00,,,,
17-678,"Brown sauce, reduced salt/sugar",Estimated from brown sauce and label data,WCN,,"LFRA, Nutrient analysis of miscellaneous foods, 1992; and industry data, 2013",,1.00,,,6.25,
11-1127,"Brownies, chocolate, homemade",Recipe,AN,,Updated 2014,,1.00,,,,
13-630,"Brussels sprouts, boiled in unsalted water","11 samples, UK, including standard, peeled and baby. Base trimmed and outer leaves removed, boiled for 4-10 minutes",DG,13-179,"PHE, Nutrient analysis of fresh and processed fruit and vegetables with respect to fibre, 2017",,1,,,6.25,0.8
13-177,"Brussels sprouts, raw","Base trimmed, outer leaves removed",DG,50-746 ,"Reviewed 2013. IFR, The nutritional composition of retail vegetables in the UK, 1984-1987. Vitamin K1 from Bolton-Smith et al Br.J. Nutr.83, 2000",,0.69,,,6.25,
15-704,"Bubble and squeak, fried in rapeseed oil, homemade","Fried cabbage and potato. Recipe from Wiles et al, 1980",DR,15-383 ,Updated 2014,,1.00,,,,
15-703,"Bubble and squeak, fried in sunflower oil, homemade","Fried cabbage and potato. Recipe from Wiles et al, 1980",DR,15-426 ,Updated 2014,,1.00,,,,
11-006,"Buckwheat, groats",Literature sources,AA,,"Cereals and Cereal Products Supplement, 1988. Reviewed 2014",,1.00,,,6.25,
17-823,"Build up, powder, shake, assorted flavours","Manufacturer's data (Nestlé). Average of chocolate, strawberry, banana and vanilla flavours",PAA,17-534 ,Industry data 2013; some minerals estimated from MW5,,1.00,,,6.25,
17-728,"Build-up powder, soup, assorted flavours","Manufacturer's data (Nestlé). Average of chicken, vegetable, tomato and potato & leek flavours",PAA,17-535 ,"Industry data, 2013",,1.00,,,6.25,
19-651,"Burger, beef, 62-85% beef, raw","10 samples, 6 brands containing onion, frozen and chilled",MBG,19-042 ,"LGC, Analytical survey of meat products, 1990-1991; and industry data, 2013",,1.00,,,6.25,
19-546,"Burger, beef, 62-85%, beef, grilled","Beefburgers with added onion. 10 samples, 6 brands, frozen and chilled",MBG,19-043 ,"LGC, Analytical survey of meat products, 1990-1991; and industry data, 2013",,1.00,,,6.25,0.93
19-490,"Burger, beef, 98-99% beef, fried in vegetable oil","8 samples, 3 brands, chilled and frozen",MBG,19-029 ,"LGC, Analytical survey of meat products, 1990-1991; and industry data, 2013. Fibre estimated from product labels",,1.00,,,6.25,0.93
19-491,"Burger, beef, 98-99% beef, grilled","8 samples, 3 brands, chilled and frozen",MBG,19-030 ,"LGC, Analytical survey of meat products, 1990-1991; and industry data, 2013. Fibre estimated from product labels",,1.00,,,6.25,
19-492,"Burger, beef, 98-99% beef, raw","8 samples, 3 brands, chilled and frozen",MBG,19-309 50-503 ,"LGC, Analytical survey of meat products, 1990-1991; and industry data, 2013. Fibre estimated from product labels",,1.00,,,6.25,0.935
19-553,"Burger, beef, fried in rapeseed oil, homemade",Recipe,MR,19-354 ,Updated 2014,,1.00,,,,
19-555,"Burger, beef, grilled, homemade",Recipe,MR,19-356 ,Updated 2014,,1.00,,,,
19-554,"Burger, beef, with bun, fried in rapeseed oil, homemade",Recipe,MR,19-356 ,Updated 2014,,1.00,,,,
19-556,"Burger, beef, with bun, grilled, homemade",Recipe,MR,19-357 ,Updated 2014,,1.00,,,,
19-493,"Burger, Big Mac, takeaway","Includes two beefburgers, bun, sauce, cheese, lettuce, onions and pickles",MBG,19-310 ,"Industry data (McDonald's), 2013",,1.00,,,6.25,0.956
19-545,"Burger, cheeseburger, takeaway","Includes beefburger, bun, cheese, mustard, ketchup, onions and pickles",MBG,19-314 ,"Industry data, 1998, 2013; and calculated from ingredients",,1.00,,,6.25,0.956
19-315,"Burger, chicken, takeaway","Includes chicken burger, bun, lettuce and mayonnaise",MBG,19-041 ,"Reviewed 2013. Meat Products and Dishes Supplement, 1996. Proximates as weighted average of manufacturer data (McDonalds, KFC, Wimpy (5:4:1))",,1.00,,,6.25,0.956
18-502,"Burger, chicken/turkey, coated, retail, grilled","10 samples, 7 products, breaded and battered",MCA,,"DH, Nutrient analysis of a range of processed foods with particular reference to trans fatty acids, 2013",,1.00,,,6.25,0.945
19-544,"Burger, hamburger, takeaway","Includes bun, beefburger, mayonnaise, lettuce, tomato, ketchup, onions and pickles",MBG,19-311 ,"Industry data (Burger King), 2013; and calculation from ingredient proportions",,1.00,,,6.25,0.956
19-487,"Burger, Quarter Pounder with cheese, takeaway","Portion includes a quarter pound beefburger, ketchup, mustard, onions, pickles and slice of cheese",MBG,19-312 ,"Industry data (McDonald's), 2013",,1.00,,,6.25,
19-514,"Burger, Whopper, takeaway","Portion includes bun, beefburger, mayonnaise, lettuce, tomato, ketchup, onions and pickles",MBG,19-313 ,"Industry data (Burger King), 2013; and calculation from ingredient proportions",,1.00,,,6.25,0.935
17-685,"Butter, salted","Average of UK/Irish, Danish, French, New Zealand",OA,17-485 ,"LGC, Nutrient analysis of ‘other’ milk and cream, 1998; and industry data, 2013. Fats and fatty acids as Fatty Acid Supplement 17-013, 1998. Vitamin K1 Bolton-Smith et al, Br J Nutr, 83, 2000",,1.00,,,6.38,0.956
17-655,"Butter, spreadable (75-80% fat)","9 samples, 7 products, containing butter and vegetable oil, including Anchor, Lurpak, Country Life and own brand equivalents",OA,17-486 ,"DH, Nutrient analysis of a range of processed foods with particular reference to trans fatty acids, 2011",,1.00,,,6.38,0.945
17-656,"Butter, spreadable, light (60% fat)","11 samples, 7 products, containing vegetable oil, including Anchor Lighter, Lurpak Lighter, Country Life Lighter and own brand equivalents",OA,,"DH, Nutrient analysis of a range of processed foods with particular reference to trans fatty acids, 2011",,1.00,,,6.38,0.945
17-661,"Butter, unsalted","Average of UK/Irish, Danish, French, New Zealand",OA,,"LGC, Nutrient analysis of ‘other’ milk and cream, 1998. Fats and fatty acids as FA Supplement 17-013, 1998. Vitamin K1 Bolton-Smith et al, Br J Nutr, 83, 2000",,1.00,,,6.38,0.956
17-001,"Butteroil, unsalted",Calculated from butter,OB,,"Miscellaneous Foods Supplement, 1994",,1.00,,,,
19-631,"Cabbage leaves, stuffed with lamb and rice, homemade",Recipe,MR,19-437 ,Updated 2014,,1.00,,,,
13-581,"Cabbage, average, boiled in unsalted water",Average of green and white cabbage,DG,,"DH, Nutrient analysis of fruit and vegetables, 2013",,1.00,,,6.25,0.8
13-582,"Cabbage, average, raw",Average of white (13-509) and green (13-510) cabbage,DG,13-468 ,"DH, Nutrient analysis of fruit and vegetables, 2013",,1.00,,,6.25,0.8
13-187,"Cabbage, Chinese, raw","Base trimmed, outer leaves removed",DG,,"IFR, The nutritional composition of retail vegetables in the UK, 1984-1987",,0.52,,,,
13-511,"Cabbage, green, boiled in unsalted water","As raw, boiled for 4-8 minutes",DG,13-444 ,"DH, Nutrient analysis of fruit and vegetables, 2013",,1.00,,,6.25,
13-510,"Cabbage, green, raw","22 samples, autumn and winter, UK grown and imported, pre-packed and loose",DG,13-468 ,"DH, Nutrient analysis of fruit and vegetables, 2013",,0.87,,,6.25,
13-540,"Cabbage, red, boiled in unsalted water","Outer leaves and stem removed. Shredded and boiled 19 minutes, based on boiled in salted water",DG,,"Reviewed 2013. IFR, The nutritional composition of retail vegetables in the UK, 1984-1987",,1.00,,,6.25,
15-705,"Cabbage, red, cooked with apple",Recipe from literature sources,DR,15-427 ,Updated 2014,,1.00,,,,
13-190,"Cabbage, red, raw",Outer leaves and stem removed,DG,,"IFR, The nutritional composition of retail vegetables in the UK, 1984-1987",,0.91,,,6.25,0.8
13-584,"Cabbage, white, boiled in unsalted water",Calculated from 13-509 using dry matter weights,DG,,"DH, Nutrient analysis of fruit and vegetables, 2013",,1.00,,,6.25,0.8
13-509,"Cabbage, white, raw","19 samples, autumn and winter, UK grown and imported, pre-packed and loose",DG,13-445 ,"DH, Nutrient analysis of fruit and vegetables, 2013",,0.90,,,6.25,
11-740,"Cake bars, chocolate","10 samples, 10 products, including chocolate chip, Galaxy, Milky Way, Penguin and Crunchie",AN,,"Direct Laboratories, Nutrient analysis catch up project, 2003",,1.00,,,5.7,0.956
11-916,Cake rusks,"South Asian sweet bread, 6 samples, ethnic food store",AM,,"University of Leeds, Nutritional analysis of commonly consumed South Asian foods in the UK, 2007",,1.00,,,6.25,
11-835,"Cake, battenberg, retail","10 samples, 4 products, including standard and mini cakes",AN,11-574 ,"DH, Nutrient analysis of biscuits, buns, cakes and pastries, 2011",,1.00,,,6.25,0.956
11-836,"Cake, carrot, iced, retail","10 samples, 8 products, including plain carrot and products with orange and walnuts",AN,,"DH, Nutrient analysis of biscuits, buns, cakes and pastries, 2011; and industry data, 2013",,1.00,,,5.7,0.956
11-1041,"Cake, carrot, with topping, homemade","Recipe, with topping",AN,11-616 ,Based on Mary Berry's ultimate cake book. Recalculated 2014,,1.00,,,,
11-1044,"Cake, cherry, homemade",Recipe,AN,11-640 ,Recalculated 2014,,1.00,,,,
11-527,"Cake, chocolate fudge","12 samples, 6 brands. Mixture of fresh and frozen",AN,,"ADAS Laboratories, Nutrient analysis of ice creams and desserts, 1999",,1.00,,,6.25,0.956
11-1046,"Cake, chocolate, not filled, homemade",Recipe,AN,11-641 ,Recalculated 2014,,1.00,,,,
11-1047,"Cake, chocolate, with butter icing, homemade",Recipe,AN,11-642 ,Recalculated 2014,,1.00,,,,
11-830,"Cake, chocolate, with filling and icing, retail","10 samples, 7 products, including celebration cakes, tray bakes and layer cakes",AN,,"DH, Nutrient analysis of biscuits, buns, cakes and pastries, 2011",,1.00,,,5.7,0.956
11-1053,"Cake, coconut, homemade",Recipe,AN,11-643 ,Updated 2014,,1.00,,,,
11-829,"Cake, fruit, retail","10 samples, 9 products, including Genoa, sultana and cherry slab, Manor House and country slices",AN,11-529 ,"DH, Nutrient analysis of biscuits, buns, cakes and pastries, 2011",,1.00,,,5.7,0.956
11-1005,"Cake, fruit, rich, homemade",Recipe,AN,11-577 ,Recalculated in 2013,,1.00,,,,
11-991,"Cake, fruit, rich, iced, homemade",With marzipan and royal icing. Recipe,AN,11-578 ,Recalculated in 2013,,1.00,,,,
11-1072,"Cake, fruit, wholemeal, homemade",Recipe,AN,11-579 ,Updated 2014,,1.00,,,,
11-1090,"Cake, lardy, homemade",Recipe,AN,11-645 ,Updated 2014,,1.00,,,,
11-833,"Cake, loaf, retail","7 samples, 2 products, including ginger and golden syrup",AN,,"DH, Nutrient analysis of biscuits, buns, cakes and pastries, 2011",,1.00,,,5.7,0.956
11-957,"Cake, sponge, fatless, homemade",Not filled recipe,AN,11-581 ,As MW6. Recalculated in 2013.,,1.00,,,,
11-956,"Cake, sponge, homemade",Not filled. Recipe,AN,11-580 ,Updated 2014,,1.00,,,,
11-832,"Cake, sponge, soft iced, retail","10 samples, 8 products, including angel cake, Madeira and lemon drizzle",AN,,"DH, Nutrient analysis of biscuits, buns, cakes and pastries, 2011",,1.00,,,5.7,0.956
11-1118,"Cake, sponge, with butter icing, homemade",Recipe,AN,11-647 ,Updated 2014,,1.00,,,,
11-532,"Cake, sponge, with dairy cream and jam, frozen","10 samples, 8 brands",AN,11-215 ,"ADAS Laboratories, Nutrient analysis of ice creams and desserts, 1999",,1.00,,,6.25,0.956
11-831,"Cake, sponge, with jam and butter cream, retail","10 samples, 8 products, including sandwich and Swiss roll",AN,,"DH, Nutrient analysis of biscuits, buns, cakes and pastries, 2011; and industry data, 2013",,1.00,,,5.7,0.945
11-1125,"Cake, Swiss roll, homemade",Recipe,AN,11-648 ,Updated 2014,,1.00,,,,
11-834,"Cake, Swiss rolls, chocolate covered and filled, retail","10 samples, 5 products, including large, individual and bite-sized rolls",AN,11-533 ,"DH, Nutrient analysis of biscuits, buns, cakes and pastries, 2011",,1.00,,,5.7,0.945
11-840,Cakes from 'healthy eating' ranges,"10 samples, 7 products, including carrot, lemon and apple slices",AN,,"DH, Nutrient analysis of biscuits, buns, cakes and pastries, 2011; and industry data, 2013",,1.00,,,5.7,0.956
11-990,"Cakes, crispie, homemade",Chocolate recipe,AN,11-576 ,Recalculated in 2013,,1.00,,,,
11-839,"Cakes, fancy iced, individual, retail","10 samples, 8 products, including French and fondant fancies, cup cakes, fairy cakes, angel and lemon slices",AN,,"DH, Nutrient analysis of biscuits, buns, cakes and pastries, 2011",,1.00,,,5.7,0.956
16-404,"Calamari, coated in batter, baked","5 samples, 2 products, frozen",JM,16-266 16-265 ,"DH, Nutrient analysis of fish and fish products, 2013",,1.00,,,6.25,0.956
15-706,"Callaloo and cho cho, homemade",West Indian dish. Spinach and cho cho. Recipe from a personal collection,DR,15-426 ,Updated 2014,,1.00,,,,
15-707,"Callaloo and okra, homemade",West Indian dish. Spinach and okra. Recipe from a personal collection,DR,15-429 ,Updated 2014,,1.00,,,,
15-708,"Cannelloni, spinach, homemade","Recipe, Pasta tubes with spinach and ricotta filling. Recipe from dietary survey records",DR,15-430 ,Updated 2014,,1.00,,,,
15-709,"Cannelloni, vegetable, homemade",Pasta tubes with mixed vegetable filling. Recipe from dietary survey records,DR,15-367 ,Updated 2014,,1.00,,,,
17-649,"Caramel bars and sweets, chocolate covered","10 samples, 6 brands, including Cadbury's Caramel, Curly Wurly, Rolo, Galaxy Caramel, Toffee Poppets and own brands",SEA,,"DH, Nutrient analysis of a range of processed foods with particular reference to trans fatty acids, 2013",,1.00,,,6.38,0.945
13-808,Caraway seeds,Literature sources,H,,"Marsh et al. (1977) Composition of foods: spices and herbs, raw, processed and prepared, Agriculture Handbook No. 8-2",,1.00,,,,
19-558,"Carbonnade of Beef, homemade",Recipe,MR,19-378 ,Updated 2014,,1.00,,,,
13-809,"Cardamom, ground",Literature sources,H,,"Vegetables, Herbs and Spices Supplement, 1991",,1.00,,,,
16-172,"Carp, raw",Literature sources,JA,,"Fish and Fish Products Supplement, 1993",,0.54,,,,
13-607,Carrot juice,"7 samples, 3 brands. Bottles and cartons",DG,13-199 ,"LGC, Fruit and vegetables, 1989-1990; industry data, 2014; and calculated from raw carrots",,1.00,,,6.25,0.8
13-497,"Carrots, old, boiled in unsalted water","As raw, boiled for 5-10 minutes",DG,13-447 ,"DH, Nutrient analysis of fruit and vegetables, 2013",,1.00,,,6.25,
13-498,"Carrots, old, microwaved","As raw, cooked for 3-8 minutes",DG,,"DH, Nutrient analysis of fruit and vegetables, 2013",,1.00,,,6.25,
13-496,"Carrots, old, raw","22 samples, autumn and winter, UK grown, pre-packed and loose, top and tailed, peeled and not peeled",DG,13-446 ,"DH, Nutrient analysis of fruit and vegetables, 2013",,0.71,,,6.25,0.8
13-449,"Carrots, young, boiled in unsalted water","Ends trimmed, scrubbed, sliced and boiled 15 minutes",DG,13-205 50-757 ,"Reviewed 2013. IFR, The nutritional composition of retail vegetables in the UK, 1984-1987; carotenoids from LGC 'Determination of cis carotenoids in foodstuffs' 1997. Vitamin K1 from Bolton-Smith et al Br.J. Nutr.83, 2000",,1.00,,,6.25,0.8
13-565,"Carrots, young, canned in water, re-heated, drained","10 cans, 5 brands, no added salt",DG,,"LGC, Canned and other processed vegetable products survey, 1985; and industry data, 2013. Carotenoids from LGC 'Determination of cis carotenoids in foodstuffs' 1997",,0.61,,,6.25,0.8
13-448,"Carrots, young, raw","Ends trimmed, scrubbed",DG,13-023 50-756 ,"Reviewed 2013. IFR, The nutritional composition of retail vegetables in the UK, 1984-1987; carotenoids from LGC 'Determination of cis carotenoids in foodstuffs' 1997. Vitamin K1 from Bolton-Smith et al Br.J. Nutr.83, 2000",,0.87,,,6.25,0.8
14-060,"Cashew fruit, flesh only",Literature sources,FA,,"Fruit and Nuts Supplement, 1992",,0.82,,,,
14-811,"Cashew nuts, kernel only, plain","20 samples, whole and broken kernels",GA,,"LGC, Savoury snacks and nuts, 1989-1991",,1.00,,,,
14-812,"Cashew nuts, kernel only, roasted and salted","10 samples, kernels only",GA,50-976 ,"Reviewed 2013. LGC, Savoury snacks and nuts, 1989-1991",,1.00,,,5.3,
13-209,"Cassava, baked",Literature sources and calculation from raw,DG,,"Vegetables, Herbs and Spices Supplement, 1991",,1.00,,,,
13-210,"Cassava, boiled in unsalted water",Literature sources and calculation from raw,DG,,"Vegetables, Herbs and Spices Supplement, 1991",,1.00,,,,
13-212,"Cassava, frozen, raw",5 samples (Proscana),DG,,"Vegetables, Herbs and Spices Supplement, 1991",,1.00,,,,
13-208,"Cassava, raw",Literature sources,DG,,"Vegetables, Herbs and Spices Supplement, 1991",,0.84,,,,
13-211,"Cassava, steamed",Literature sources and calculation from raw,DG,,"Vegetables, Herbs and Spices Supplement, 1991",,1.00,,,,
15-712,"Casserole, bean and mixed vegetable, homemade",Recipe adapted from a recipe from Leeds Polytechnic.,DR,15-431 ,Updated 2014,,1.00,,,,
15-713,"Casserole, bean and root vegetable, homemade",Recipe from dietary survey records. Mixed beans and vegetables,DR,15-432 ,Updated 2014,,1.00,,,,
19-470,"Casserole, beef, made with cook-in sauce",Recipe,MR,19-332 ,Updated 2013,,1.00,,,,
19-612,"Casserole, pork and apple, homemade",Recipe,MR,19-414 ,Updated 2014,,1.00,,,,
19-536,"Casserole, pork, made with cook-in sauce",Recipe,MR,19-348 ,Updated 2013,,1.00,,,,
19-623,"Casserole, rabbit, homemade",Recipe,MR,19-431 ,Updated 2014,,1.00,,,,
19-484,"Casserole, sausage, homemade",Recipe,MR,19-351 ,Updated 2013,,1.00,,,,
15-714,"Casserole, sweet potato and green banana, homemade",Recipe. West Indian dish. Recipe from a personal collection,DR,15-433 ,Updated 2014,,1.00,,,,
15-638,"Casserole, vegetable, homemade",Recipe from dietary survey records,DR,15-368 ,Updated 2013,,1.00,,,,
16-008,"Catfish, flesh only, steamed",Middle cuts,JA,,"Fish and Fish Products Supplement, 1993",,1.00,,,,
16-009,"Catfish, flesh only, steamed, weighed with bones",Calculated from steamed 16-008,JA,,"Fish and Fish Products Supplement, 1993",,0.85,,,,
16-007,"Catfish, raw",Literature sources,JA,,"Fish and Fish Products Supplement, 1993",,N,,,,
15-639,"Cauliflower cheese, made with semi-skimmed milk, homemade",Recipe,DR,15-369 ,Updated 2013,,1.00,,,,
15-710,"Cauliflower cheese, made with skimmed milk, homemade",Recipe,DR,15-434 ,Updated 2014,,1.00,,,,
15-711,"Cauliflower cheese, made with whole milk, homemade",Recipe,DR,15-384 ,Updated 2014,,1.00,,,,
15-637,"Cauliflower cheese, retail",Recipe and industry data,DR,,"Industry data, 2013; and recipe (15-384)",,1.00,,,6.25,
15-715,"Cauliflower in white sauce, made with semi-skimmed milk, homemade",Recipe,DR,15-436 ,Updated 2014,,1.00,,,,
15-716,"Cauliflower in white sauce, made with skimmed milk, homemade",Recipe,DR,15-437 ,Updated 2014,,1.00,,,,
15-717,"Cauliflower in white sauce, made with whole milk, homemade",Recipe,DR,15-435 ,Updated 2014,,1.00,,,,
15-718,"Cauliflower with onions and chilli pepper, homemade","Recipe, Bangladeshi dish",DR,15-438 ,Updated 2014,,1.00,,,,
13-513,"Cauliflower, boiled in unsalted water","As raw, boiled for 4-8 minutes",DG,13-217 ,"DH, Nutrient analysis of fruit and vegetables, 2013",,1.00,,,6.25,
13-512,"Cauliflower, raw","22 samples, autumn and winter, UK grown and imported, pre-packed and loose",DG,13-215 ,"DH, Nutrient analysis of fruit and vegetables, 2013",,0.53,,,6.25,
16-272,"Caviare, bottled in brine, drained",Literature sources. Lumpfish roe,JR,,"Lewis and English (1990) Composition of Foods Australia. Vol. 3, Dairy Products, Eggs and Fish. Department of Community Services and Health, and literature sources",,0.94,,,,
13-585,"Celeriac, boiled in unsalted water","As raw; diced and boiled 20 minutes, calculated from boiled in salted water",DG,,"IFR, The nutritional composition of retail vegetables in the UK, 1984-1987",,1.00,,,6.25,0.8
13-219,"Celeriac, raw","Top and root trimmed, peeled",DG,,"IFR, The nutritional composition of retail vegetables in the UK, 1984-1987",,0.60,,,,
13-810,Celery seeds,Literature sources,H,,"Marsh et al. (1977) Composition of foods: spices and herbs, raw, processed and prepared, Agriculture Handbook No. 8-2",,1.00,,,,
13-637,"Celery, boiled in unsalted water","Calculated from raw. Water analysed, 2017. 11 samples, UK, including whole heads, hearts and sticks, stem only. Sliced and boiled for 5-10 minutes",DG,13-544,"PHE, Nutrient analysis of fresh and processed fruit and vegetables with respect to fibre, 2017",,1,,,6.25,0.8
13-636,"Celery, raw","11 samples, UK, including whole heads, hearts and sticks, stem only",DG,13-451,"PHE, Nutrient analysis of fresh and processed fruit and vegetables with respect to fibre, 2017",,0.24,,,6.25,0.8
11-819,"Cereal bars, with fruit and/or nuts, no chocolate, unfortified","5 samples, 5 products, including Jordan's frusli and Alpen chewy bars",AM,17-103 17-494 ,"DH, Nutrient analysis of biscuits, buns, cakes and pastries, 2011",,1.00,,,5.83,0.956
11-818,"Cereal bars, with fruit and/or nuts, with chocolate, unfortified","5 samples, 4 products, including Cadbury Brunch, Tracker cereal and Alpen cereal bars",AM,17-103 17-494 ,"DH, Nutrient analysis of biscuits, buns, cakes and pastries, 2011",,1.00,,,5.83,0.956
11-987,"Chapatis, made with fat, retail",6 samples,AF,11-458 ,"MW4, 1978; and industry data, 2013. Selenium from Analysis of foods for selenium (1994) MAFF Project 2B006. Fibre fractions from 11-074",,1.00,,,5.7,0.956
11-459,"Chapatis, made without fat",Analysed and calculated values,AF,11-075 50-036 ,Data from MW5 with selenium data from SAC Analysis of foods for Selenium 1994 MAFF Project 2B006. Fibre fractions from 11-075,,1.00,,,5.7,0.67
13-224,"Chard, Swiss, boiled in unsalted water",Literature sources,DG,,"Haytowitz and Matthews (1984) Composition of foods: vegetables and vegetable products, raw, processed and prepared, Agricultural Handbook No. 8-11",,1.00,,,,
13-223,"Chard, Swiss, raw",Literature sources,DG,,"Haytowitz and Matthews (1984) Composition of foods: vegetables and vegetable products, raw, processed and prepared, Agricultural Handbook No. 8-11",,0.88,,,,
11-997,"Cheese and onion rolls, pastry, retail","Oven-baked pastry, 3 brands",AT,11-550 ,"RHM, Nutrient analysis of manufactured foods for vegetarians, 1997; and industry data, 2013",,1.00,,,6.25,0.956
12-561,"Cheese pudding, homemade","Recipe including breadcrumbs, milk, cheese and eggs",BV,12-456 ,Updated 2014,,1.00,,,,
17-665,"Cheese sauce, made with semi-skimmed milk, homemade",Recipe,WCD,17-522 ,Updated 2013,,1.00,,,,
17-773,"Cheese sauce, made with skimmed milk, homemade",Recipe,WCD,17-568 ,Updated 2014,,1.00,,,,
17-775,"Cheese sauce, made with whole milk, homemade",Recipe,WCD,17-521 ,Updated 2014,,1.00,,,,
17-666,"Cheese sauce, packet mix, made up with semi-skimmed milk, homemade",Recipe,WCD,17-524 ,Updated 2013,,1.00,,,,
17-780,"Cheese sauce, packet mix, made up with skimmed milk, homemade",Recipe,WCD,17-569 ,Updated 2014,,1.00,,,,
17-781,"Cheese sauce, packet mix, made up with whole milk, homemade",Recipe,WCD,17-523 ,Updated 2014,,1.00,,,,
12-540,"Cheese spread, plain","20 samples, 7 brands, portions and tubs",BL,12-349 ,"Data from LGC 'Nutrient analysis of cheese' 1999, with missing values from 12-142. Selenium estimated from  Analysis of foods for Selenium 1994 MAFF Project 2B006",,1.00,,,6.38,0.945
12-537,"Cheese spread, plain, reduced fat","13 samples, 9 brands, portions and tubs",BL,12-350 ,"LGC, Nutritional analysis of foods commonly consumed by school children, 1995; fats calculated from cheese spread plain on a fat content basis; and selenium from  Analysis of foods for Selenium 1994",,1.00,,,6.38,0.945
11-824,"Cheese straws/twists, retail","10 samples, 7 products, including cheese straws, twists and crispies",AM,,"DH, Nutrient analysis of biscuits, buns, cakes and pastries, 2011",,1.00,,,6.38,0.945
12-491,"Cheese, Brie, rind only","10 samples, sampled in autumn and spring",BL,,"LGC, Nutrient analysis of cheese, 1999",,1.00,,,6.38,0.945
12-344,"Cheese, Brie, with outer rind removed",20 samples,BL,12-131 12-861 50-226  ,"Reviewed 2013. LGC, Nutrient analysis of cheese, 1999. Vitamin K1 Bolton-Smith et al, Br J Nutr, 83, 2000",,0.69,,,6.38,0.945
12-132,"Cheese, Caerphilly",10-20 samples,BL,,"Milk Products and Eggs Supplement, 1989",,1,,,6.38,0.945
12-345,"Cheese, Camembert",18 samples,BL,12-133 50-227 ,"Reviewed 2013. LGC, Nutrient analysis of cheese, 1999. Fats calculated from MW5 50-227 (1989) proportions, some vitamin values from MW5 50-227",,1.00,,,6.38,0.945
12-548,"Cheese, Cheddar type, '30% less fat'","Including Cathedral City lighter, Pilgrims Choice lighter mature cheese and other/own brands",BL,,"Industry data, 2013; and LGC, Nutrient analysis of cheese, 1999 (from cheddar type, half fat)",,1.00,,,6.38,0.945
12-348,"Cheese, Cheddar type, half fat",16 samples,BL,12-141 50-230 ,"LGC, Nutrient analysis of cheese, 1999. with inorganics and missing vitamins from MW5 50-230 (1989).",,1.00,,,6.38,0.945
12-346,"Cheese, Cheddar, English","20 samples of English cheddar, including mild and mature, spring and autumn",BL,12-134 50-228  ,"Reviewed 2013. LGC, Nutrient analysis of cheese, 1999. Vitamin K1 Bolton-Smith et al, Br J Nutr, 83, 2000",,1.00,,,6.38,0.945
12-539,"Cheese, cottage, plain",16 samples,BL,12-351 ,"LGC, Nutrient analysis of cheese, 1999; and industry data, 2013. Some vitamins and minerals estimated from cottage cheese, reduced fat, plain",,1.00,,,6.38,0.945
12-550,"Cheese, cottage, plain, reduced fat",20 samples,BL,12-352 ,"LGC, Nutrient analysis of cheese, 1999; and industry data, 2013. Fatty acids calculated from 50-234 (1991). Selenium from Analysis of foods for Selenium 1994 MAFF Project 2B006",,1.00,,,6.38,0.945
12-354,"Cheese, Danish blue",18 samples,BL,12-151 50-236 ,"Reviewed 2013. LGC, Nutrient analysis of cheese, 1999. Vitamin K1 Bolton-Smith et al, Br J Nutr, 83, 2000",,1.00,,,6.38,0.945
12-152,"Cheese, Derby",10-14 samples,BL,,"Milk Products and Eggs Supplement, 1989",,1,,,,
12-494,"Cheese, Dolcelatte, rind removed","7 samples, each sampled in spring and autumn",BL,,"LGC, Nutrient analysis of cheese, 1999",,1.00,,,6.38,
12-487,"Cheese, Double Gloucester","10 samples, sampled in spring and autumn",BL,12-153 ,"LGC, Nutrient analysis of cheese, 1999",,1.00,,,6.38,
12-355,"Cheese, Edam",20 samples,BL,12-154 12-864 50-237  ,"Reviewed 2013. LGC, Nutrient analysis of cheese, 1999. Missing vitamin values from Milk Products and Eggs Supplement 12-154. Additional fatty acid data from a different sample is available in 12-864",,1.00,,,6.38,0.945
12-493,"Cheese, Emmental","9 samples, sampled in spring and autumn",BL,12-156 ,"LGC, Nutrient analysis of cheese, 1999",,1.00,,,6.38,
12-525,"Cheese, Feta","18 samples, made from sheeps and goats milk",BL,12-356 ,"Milk Products and Eggs Supplement, 1989; and industry data, 2013. Selenium from Analysis of foods for Selenium 1994 MAFF Project 2B006",,1.00,,,6.38,0.945
